,disease_to_gene_occurrences,disease_to_gene_pub_counts,disease_to_int_to_gen_occurrences,disease_to_int_to_gene_pubs,disease_symtpoms_gene_related_to,disease_symtpoms_gene_related_to_count,unique_symptoms_count,gene_to_symptoms_pub_counts,gene_edges_out,final_symptom_score,relevance_score
TNF,1,0,510,2490,"['FEVER', 'FEVER', 'FEVER', 'FEVER', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'COUGHING', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'HYPOXEMIA']",20,5,101,19386,18.888150516188297,1.0
VEGFA,1,0,242,1617,"['HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'CHRONIC LUNG DISEASE', 'CHRONIC LUNG DISEASE', 'COUGHING', 'COUGHING', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'HYPOXEMIA']",17,5,356,11194,18.46603430461959,0.8340798579564762
ACE,1,0,92,81,"['ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'COUGHING', 'COUGHING', 'COUGHING', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HYPOXIA', 'HYPOXIA']",14,4,20,2842,11.717444463993663,0.7314405065994073
SERPINE1,1,0,97,123,"['HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE']",9,3,12,1935,9.33738170941222,0.7166543696685402
ACE2,2,0,53,38,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE']",7,2,5,1050,4.055535528269064,0.6768073504151633
INS,1,0,193,1244,"['DIABETES MELLITUS', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'COUGHING', 'FEVER', 'FEVER', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'CHRONIC LUNG DISEASE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE']",19,7,24,9555,13.975368312244228,0.6154710439725991
STAT3,1,0,201,824,"['DIABETES MELLITUS', 'COUGH', 'FEVER', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'FEVER', 'FEVER', 'CARDIOVASCULAR DISEASE']",10,5,8,6659,10.796155868790663,0.5797790770338253
IFNA1,1,0,318,1542,"['FEVER', 'FEVER', 'FEVER', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE']",8,3,13,7673,6.7114521590851215,0.4224822362991765
TH,1,0,150,369,"['FEVER', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA']",7,3,33,5797,7.756539035898316,0.3961795764380777
IL6,1,0,265,368,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'HYPOXIA', 'FEVER', 'FEVER', 'HEADACHE']",10,5,14,5944,6.104484692231084,0.39600425256766114
PLAT,1,0,69,100,"['HYPOXIA', 'HYPOXIA', 'HYPOXEMIA', 'HYPOXEMIA', 'ACUTE KIDNEY FAILURE']",5,2,2,2526,6.172133998483676,0.38134969500707616
MAPK1,1,0,293,1089,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA']",6,2,18,11864,7.794348209791302,0.3772770912437974
MPO,1,0,92,93,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HYPOXEMIA', 'HYPOXIA', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE']",9,3,10,4009,7.141602527510902,0.37534945349872373
HMGB1,1,0,72,91,"['HYPOXIA', 'CHRONIC LUNG DISEASE', 'FEVER', 'FEVER', 'CARDIOVASCULAR DISEASE', 'ACUTE KIDNEY FAILURE']",6,5,3,1948,5.103202680302517,0.36240405559721106
REN,1,0,99,443,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'HYPOXIA', 'HYPOXEMIA']",11,3,18,5583,7.952709633164715,0.36139998185754624
ALB,1,0,124,248,"['FEVER', 'FEVER', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE']",9,4,11,4255,6.175696362384412,0.34436871953968884
