,names,frequency,edges_out_count
HP:0040133,"['ABNORMAL SERUM FERRITIN', 'ABNORMAL PLASMA FERRITIN']",Unknown,1.0
HP:0011134,"['LOW-GRADE FEVER', 'MILD FEVER']",Unknown,11.0
HP:0011897,"['NEUTROPHILIA', 'INCREASED BLOOD NEUTROPHIL COUNTS']",Unknown,22.0
HP:0005115,"['SUPRAVENTRICULAR ARRHYTHMIA', 'ARRHYTHMIAS, SUPRAVENTRICULAR']",Unknown,31.0
HP:0002105,"['HEMOPTYSIS', 'COUGHING UP BLOOD', 'HAEMOPTYSIS']",Unknown,77.0
HP:0012819,"['MYOCARDITIS', 'INFLAMMATION OF HEART MUSCLE']",Unknown,99.0
HP:0002018,['NAUSEA'],Unknown,152.0
HP:0002039,['ANOREXIA'],Unknown,172.0
HP:0012735,"['COUGH', 'COUGHING']",Unknown,254.0
HP:0003326,"['MYALGIA', 'MUSCLE ACHE', 'MUSCLE PAIN']",Unknown,346.0
HP:0001298,['ENCEPHALOPATHY'],Unknown,362.0
HP:0001882,"['LEUKOPENIA', 'DECREASED BLOOD LEUKOCYTE NUMBER', 'LOW WHITE BLOOD CELL COUNT']",Unknown,369.0
HP:0002315,"['HEADACHE', 'HEADACHES']",Unknown,411.0
HP:0012378,"['FATIGUE', 'TIRED', 'TIREDNESS']",Unknown,458.0
HP:0002014,"['DIARRHEA', 'DIARRHOEA', 'WATERY STOOL']",Unknown,702.0
HP:0002910,"['ELEVATED HEPATIC TRANSAMINASE', 'ABNORMAL LIVER ENZYMES', 'ABNORMAL LIVER FUNCTION', 'ABNORMAL LIVER FUNCTION TESTS', 'ELEVATED LIVER ENZYMES', 'ELEVATED SERUM TRANSAMINASES', 'ELEVATED TRANSAMINASES', 'HIGH LIVER ENZYMES', 'INCREASED LIVER ENZYMES', 'INCREASED LIVER FUNCTION TESTS', 'INCREASED TRANSAMINASES', 'SUBCLINICAL ABNORMAL LIVER FUNCTION TESTS']",Unknown,897.0
HP:0002098,"['RESPIRATORY DISTRESS', 'BREATHING DIFFICULTIES', 'DIFFICULTY BREATHING', 'RESPIRATORY DIFFICULTIES']",Unknown,970.0
HP:0033050,"['THROAT PAIN', 'SORE THROAT']",Unknown,
HP:0025089,"['FECULENT VOMITING', 'FECAL VOMITING', 'STERCORACEOUS VOMITING']",Unknown,
HP:0500039,"['CONJUNCTIVAL CICATRIZATION', 'CICATRICIAL CONJUNCTIVITIS', 'CICATRIZATING CONJUNCTIVITIS', 'CONJUNCTIVAL CICATRICIAL CONJUNCTIVITIS']",Unknown,
HP:0032436,['ABNORMAL C-REACTIVE PROTEIN LEVEL'],Unknown,
HP:0033006,['DIFFUSE ALVEOLAR DAMAGE'],Unknown,
