,names,frequency,edges_out_count,ISS
HP:0040133,"['ABNORMAL SERUM FERRITIN', 'ABNORMAL PLASMA FERRITIN']",Unknown,10,1.5811388300841895
HP:0011134,"['LOW-GRADE FEVER', 'MILD FEVER']",Unknown,10,1.5811388300841895
HP:0011897,"['NEUTROPHILIA', 'INCREASED BLOOD NEUTROPHIL COUNTS']",Unknown,10,1.5811388300841895
HP:0005115,"['SUPRAVENTRICULAR ARRHYTHMIA', 'ARRHYTHMIAS, SUPRAVENTRICULAR']",Unknown,10,1.5811388300841895
HP:0002105,"['HEMOPTYSIS', 'COUGHING UP BLOOD', 'HAEMOPTYSIS']",Unknown,10,1.5811388300841895
HP:0012819,"['MYOCARDITIS', 'INFLAMMATION OF HEART MUSCLE']",Unknown,10,1.5811388300841895
HP:0002018,['NAUSEA'],Unknown,10,1.5811388300841895
HP:0002039,['ANOREXIA'],Unknown,10,1.5811388300841895
HP:0012735,"['COUGH', 'COUGHING']",Unknown,10,1.5811388300841895
HP:0003326,"['MYALGIA', 'MUSCLE ACHE', 'MUSCLE PAIN']",Unknown,10,1.5811388300841895
HP:0001298,['ENCEPHALOPATHY'],Unknown,10,1.5811388300841895
HP:0001882,"['LEUKOPENIA', 'DECREASED BLOOD LEUKOCYTE NUMBER', 'LOW WHITE BLOOD CELL COUNT']",Unknown,10,1.5811388300841895
HP:0002315,"['HEADACHE', 'HEADACHES']",Unknown,10,1.5811388300841895
HP:0012378,"['FATIGUE', 'TIRED', 'TIREDNESS']",Unknown,10,1.5811388300841895
HP:0002014,"['DIARRHEA', 'DIARRHOEA', 'WATERY STOOL']",Unknown,10,1.5811388300841895
HP:0002910,"['ELEVATED HEPATIC TRANSAMINASE', 'ABNORMAL LIVER ENZYMES', 'ABNORMAL LIVER FUNCTION', 'ABNORMAL LIVER FUNCTION TESTS', 'ELEVATED LIVER ENZYMES', 'ELEVATED SERUM TRANSAMINASES', 'ELEVATED TRANSAMINASES', 'HIGH LIVER ENZYMES', 'INCREASED LIVER ENZYMES', 'INCREASED LIVER FUNCTION TESTS', 'INCREASED TRANSAMINASES', 'SUBCLINICAL ABNORMAL LIVER FUNCTION TESTS']",Unknown,10,1.5811388300841895
HP:0002098,"['RESPIRATORY DISTRESS', 'BREATHING DIFFICULTIES', 'DIFFICULTY BREATHING', 'RESPIRATORY DIFFICULTIES']",Unknown,10,1.5811388300841895
HP:0033050,"['THROAT PAIN', 'SORE THROAT']",Unknown,10,1.5811388300841895
HP:0025089,"['FECULENT VOMITING', 'FECAL VOMITING', 'STERCORACEOUS VOMITING']",Unknown,10,1.5811388300841895
HP:0500039,"['CONJUNCTIVAL CICATRIZATION', 'CICATRICIAL CONJUNCTIVITIS', 'CICATRIZATING CONJUNCTIVITIS', 'CONJUNCTIVAL CICATRICIAL CONJUNCTIVITIS']",Unknown,10,1.5811388300841895
HP:0032436,['ABNORMAL C-REACTIVE PROTEIN LEVEL'],Unknown,10,1.5811388300841895
HP:0033006,['DIFFUSE ALVEOLAR DAMAGE'],Unknown,10,1.5811388300841895
