,bioprocess_count
GROWTH,159
GENE EXPRESSION,131
INFLAMMATION,119
IMMUNE RESPONSE,116
ACTIVATION OF GLOBAL TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER,111
BREAKDOWN,109
INNATE IMMUNE RESPONSE,106
METABOLIC PROCESS,104
SECRETION,101
CELL POPULATION PROLIFERATION,97
CONJUGATION,96
PATHOGENESIS,96
CATAGEN,93
ANGIOGENESIS,93
CELL ADHESION,92
GO:0016265,88
TRANSDUCTION,83
EXOGEN,77
AUTOPHAGY,75
ACCIDENTAL CELL DEATH,74
CYTOKINE AND CHEMOKINE MEDIATED SIGNALING PATHWAY,74
ALVEOLARIZATION,73
CHEMOTAXIS,72
POSITIVE REGULATION OF GENE EXPRESSION,71
CELL EXPANSION,71
MEMORY,70
CELL DIFFERENTIATION,68
ANTI-APOPTOSIS,66
CELL CYCLE,66
CELL MIGRATION,64
CHEMOATTRACTION,63
AGEING,63
NEURAL TUBE FORMATION,63
T CELL ACTIVATION,62
ACTIVATION OF GENE-SPECIFIC TRANSCRIPTION,62
AKT SIGNAL TRANSDUCTION,62
PROTEIN ANABOLISM,61
EMT,61
SENSITIZATION,60
PEPTIDOLYSIS,59
PIGMENTATION,59
ARREST OF CELL CYCLE PROGRESSION,59
ACTIVATION OF NF-KAPPAB,58
DOWN REGULATION OF GLOBAL TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER,57
CELL ACTIVATION,54
IMPORT INTO CELL,54
PHASE II METABOLISM,54
MAST CELL ACTIVATION,52
DIGESTION,52
POSITIVE REGULATION OF CELL POPULATION PROLIFERATION,52
PEROXISOME DIVISION,49
WOUND HEALING,48
ANTIGEN PRESENTATION,48
LACTATION,47
CELL DEVELOPMENT,47
SIGNAL TRANSDUCTION,47
APOPTOSIS ACTIVATOR ACTIVITY,46
PHAGOCYTOSIS,44
ENDOCYTIC IMPORT INTO CELL,44
ACTIVATION OF MAP KINASE,43
MAP KINASE CASCADE,42
ACQUIRED IMMUNE RESPONSE,41
G PROTEIN COUPLED RECEPTOR PROTEIN SIGNALING PATHWAY,41
RESPONSE TO ENDOTOXIN,41
AER,40
PHOSPHATIDYLINOSITOL 3-KINASE CASCADE,40
PROTEIN AMINO ACID PHOSPHORYLATION,39
CYTOKINE SECRETION,38
MAST CELL DEGRANULATION,38
CELLULAR DNA DAMAGE RESPONSE,38
REGENERATION,38
CELL MATURATION,36
REVERSE TRANSCRIPTION,35
CALCIUM ION SIGNALING,35
CLOTTING,34
MACROPHAGE ACTIVATION,34
CHROMOSOMAL PAIRING,34
T CELL PROLIFERATION,34
HYPERSENSITIVITY,33
CELL CYCLE MODULATION,33
LEARNING,32
ANTIVIRAL RESPONSE,32
POSITIVE REGULATION OF ERK CASCADE,32
POSITIVE REGULATION OF ANGIOGENESIS,32
LIPID METABOLIC PROCESS,31
ANTI-INFLAMMATORY RESPONSE,31
CELLULAR RESPONSE TO ENDOTOXIN,31
DOWN REGULATION OF CELL PROLIFERATION,31
IL-6 PRODUCTION,30
CASPASE-INDEPENDENT APOPTOSIS,30
TLR SIGNALING PATHWAY,30
ACTIVATION OF I-KAPPAB KINASE/NF-KAPPAB CASCADE,30
DNA REPAIR,30
CELLULAR GLUCOSE METABOLIC PROCESS,30
FERMENTATION,30
DRUG RESISTANCE,29
DOWN REGULATION OF GENE-SPECIFIC TRANSCRIPTION,29
GLOBAL TRANSCRIPTION REGULATION FROM POL II PROMOTER,29
"BLOOD COAGULATION, PLATELET ACTIVATION",28
VIRAL INFECTION,28
POSITIVE REGULATION OF APOPTOTIC PROCESS,28
RESPONSE TO HYPOXIA,28
EXCRETION,27
B CELL ACTIVATION,27
DEPHOSPHORYLATION,27
CELL PHYSIOLOGY,27
HETEROPHIL DEGRANULATION,27
POSITIVE REGULATION OF AKT SIGNALING CASCADE,27
POSTTRANSCRIPTIONAL GENE SILENCING BY SIRNA,26
IL-13 PRODUCTION,26
COGNITION,26
NEGATIVE REGULATION OF GENE EXPRESSION,26
T CELL CO-STIMULATION,25
IL-10 PRODUCTION,25
BIOLOGICAL PROCESS,25
CLEAVAGE OF PLASMINOGEN TO PLASMIN,24
DNA METHYLATION,24
HUMORAL IMMUNE RESPONSE,24
POST-TRANSLATIONAL AMINO ACID MODIFICATION,24
PROTEASOME COMPLEX DISASSEMBLY,24
BONE BIOSYNTHESIS,24
EXOCYTOSIS,24
TISSUE REMODELING,24
NEUTROPHIL CHEMOTAXIS,24
DEUBIQUITINATION,23
CELLULAR MRNA TRANSCRIPTION,23
CTLA-8 PRODUCTION,23
CHEMOKINE PRODUCTION,23
DEMETHYLATION,23
POSITIVE REGULATION OF PROTEIN AMINO ACID PHOSPHORYLATION,23
NERVOUS SYSTEM CELL GENERATION,23
"3',5' CAMP-MEDIATED SIGNALING",23
IMMUNE CELL MIGRATION,23
POSITIVE REGULATION OF TYROSINE PHOSPHORYLATION OF STAT PROTEIN,23
EMBRYO DEVELOPMENT,23
IL-4 PRODUCTION,22
CELL SURFACE RECEPTOR LINKED SIGNAL TRANSDUCTION,22
DNA ANABOLISM,22
DIAPAUSE,22
EXTRACELLULAR MATRIX ORGANISATION,22
BLOOD CELL BIOSYNTHESIS,22
POSITIVE REGULATION OF CELL MIGRATION,22
BIOLUMINESCENCE,21
T CELL DEVELOPMENT,21
CLASS SWITCH RECOMBINATION,21
POSITIVE REGULATION OF PHOSPHATIDYLINOSITOL 3-KINASE CASCADE,21
APOPTOSIS REGULATOR ACTIVITY,21
REGULATION OF GENE EXPRESSION,21
POSITIVE REGULATION OF IL-6 PRODUCTION,21
CARRYING OF YOUNG,20
GLOMERULAR FILTRATION,20
CELLULAR RESPONSE TO TNF,20
ACTIVATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC PROCESS,20
INTRACELLULAR SIGNAL TRANSDUCTION,20
B CELL RECEPTOR SIGNALING PATHWAY,20
POSITIVE REGULATION OF IL-8 PRODUCTION,20
OSTEOCLAST CELL DIFFERENTIATION,20
CELL KILLING,19
REGULATION OF IMMUNE RESPONSE,19
POSITIVE REGULATION OF PEPTIDYL-TYROSINE PHOSPHORYLATION,19
FATTY ACID OXIDATION,19
NEURON CELL DEATH,19
COSUPPRESSION,19
POSITIVE REGULATION OF INFLAMMATORY RESPONSE,19
BONE RESORPTION,19
RESPONSE TO VIRUS,19
CELL DIVISION,19
G1 PHASE,19
CELL-CELL SIGNALING,18
BASE-EXCISION REPAIR,18
ACTIVATION OF NON-CANONICAL NF-KB SIGNALING,18
TNF PRODUCTION,17
POSITIVE REGULATION OF BLOOD VESSEL SIZE,17
AUTOLYSIN ACTIVITY,17
IL-5 PRODUCTION,17
IL-9 PRODUCTION,17
POSITIVE REGULATION OF MAP KINASE CASCADE,17
CARDIAC DEVELOPMENT,17
PIECEMEAL MICROAUTOPHAGY OF THE NUCLEUS,17
ANTIBACTERIAL PEPTIDE ACTIVITY,17
RESPONSE TO ETHANOL,17
MAST CELL MIGRATION,17
DORMANCY MAINTENANCE OF SYMBIONT IN HOST,17
HISTONE ACETYLATION,17
MICROGLIAL CELL ACTIVATION,17
OSTEOBLAST CELL DIFFERENTIATION,17
POSITIVE REGULATION OF PROTEIN STABILITY,17
CHROMATIN MODELING,16
GENE SILENCING,16
IL-12 PRODUCTION,16
T CELL RECEPTOR SIGNALING PATHWAY,16
CELLULAR RESPONSE TO HYPOXIA,16
ADIPOCYTOKINE SIGNALING PATHWAY,16
GLUCOSE IMPORT,16
RESPONSE TO ACTIVITY,16
KERATINIZATION,16
IL-8 PRODUCTION,16
PHEROMONE CATABOLIC PROCESS,16
BONE MINERALIZATION,16
LEUKOCYTE ADHESION,16
TISSUE REGENERATION,16
"REGULATION OF CELLULAR TRANSCRIPTION, DNA-DEPENDENT",16
GLUCOSE HOMEOSTASIS,16
CELLULAR MECHANICAL STIMULUS RESPONSE,16
POSITIVE REGULATION OF TNF PRODUCTION,16
COMPLEMENT ACTIVATION,15
ADCC,15
CELL POLARIZATION,15
CELL LOCALIZATION,15
HISTONE MODIFICATION,15
MACROPHAGE CELL DIFFERENTIATION,15
PROTEIN UBIQUITINATION,15
SEV RECEPTOR SIGNALING PATHWAY,15
ACTIVATION OF PROTEIN KINASE C ACTIVITY,15
NITRIC OXIDE MEDIATED SIGNAL TRANSDUCTION,15
S PHASE,15
PEPTIDYL-SERINE PHOSPHORYLATION,15
RESPONSE TO CYTOKINE,15
NEUTROPHIL ACTIVATION,15
ASTROCYTE ACTIVATION,15
GAMMA-INTERFERON-MEDIATED SIGNALING PATHWAY,15
EXPORT FROM NUCLEUS,15
BLOOD CIRCULATION,15
CELLULAR PROTEIN METABOLIC PROCESS,15
NEGATIVE REGULATION OF BLOOD VESSEL SIZE,14
REGULATION OF CELL POPULATION PROLIFERATION,14
REGULATION OF INFLAMMATORY RESPONSE,14
TISSUE HOMEOSTASIS,14
INSULIN SECRETION,14
MONOCYTE ACTIVATION,14
IFN-ALPHA PRODUCTION,14
N SIGNALING PATHWAY,14
FIBRINOLYSIS,14
PLATELET DEGRANULATION,14
PROTEIN SUMOLATION,14
PROTEASOMAL PATHWAY,14
DNA REPLICATION,14
REGULATION OF ANGIOGENESIS,14
CIRCADIAN PROCESS,14
POSITIVE REGULATION OF PEPTIDYL-SERINE PHOSPHORYLATION,14
POSITIVE REGULATION OF DNA BINDING TRANSCRIPTION FACTOR ACTIVITY,14
CELLULAR SENESCENCE,14
CHEMOKINE-MEDIATED SIGNALING PATHWAY,14
CELLULAR RESPONSE TO IL-1,14
LIPID BREAKDOWN,14
POSITIVE REGULATION OF PRI-MIRNA TRANSCRIPTION BY RNA POLYMERASE II,14
CELL-CELL ADHESION,14
CELL LOCOMOTION,14
ACTION POTENTIAL,14
GO:0072608,13
MUCUS PRODUCTION,13
EOSINOPHIL ACTIVATION,13
PROTEIN SECRETION,13
NATURAL KILLER CELL ACTIVATION,13
ANIMAL ORGAN DEVELOPMENT,13
POSITIVE REGULATION OF T CELL PROLIFERATION,13
LIVER REGENERATION,13
GLUCONEOGENESIS,13
TGF-BETA RECEPTOR SIGNALING PATHWAY,13
RESPONSE TO INSULIN,13
POSITIVE REGULATION OF BLOOD VESSEL ENDOTHELIAL CELL MIGRATION,13
LIPOPOLYSACCHARIDE-MEDIATED SIGNALING PATHWAY,13
ACTIN FILAMENT POLYMERIZATION,13
IMMUNE CELL ACTIVATION,13
CELL CHEMOTAXIS,13
CELLULAR RESPONSE TO GAMMA-INTERFERON,13
POSITIVE REGULATION OF B CELL PROLIFERATION,13
MAST CELL PROLIFERATION,13
PHOTOSYNTHESIS,13
M PHASE,13
RESPONSE TO IL-1,13
POSITIVE REGULATION OF SMC PROLIFERATION,13
CHAPERONE ACTIVITY,13
LIPID ANABOLISM,13
FERTILIZATION,13
DEFENCE RESPONSE TO GRAM-POSITIVE BACTERIA,12
T-HELPER 1 TYPE IMMUNE RESPONSE,12
IL-22 PRODUCTION,12
RESPONSE TO GLUCOCORTICOID,12
PUPARIATION,12
HEAD EVERSION,12
IFN-EPSILON PRODUCTION,12
RESPONSE TO E2 STIMULUS,12
BLOOD CLOTTING,12
CELLULAR METABOLIC PROCESS,12
OLFACTION,12
AXON CHEMOTAXIS,12
NOCICEPTION,12
CELLULAR RESPONSE TO BETA-1 INTERFERON,12
NEUTROPHIL MIGRATION,12
METABOLIC BURST,12
ANTIMICROBIAL PEPTIDE ACTIVITY,12
ANATOMICAL STRUCTURE MORPHOGENESIS,12
IMMUNE CELL CHEMOTAXIS,12
MONOCYTE CHEMOTAXIS,12
IL-2 PRODUCTION,12
RESPONSE TO IL-2,12
POSITIVE REGULATION OF IL-1 BETA PRODUCTION,12
TRANSDIFFERENTIATION,12
NEURON DIFFERENTIATION,12
VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY,12
POSITIVE REGULATION OF IL-10 PRODUCTION,12
FATTY ACID ANABOLISM,12
GO:0072604,12
TYPE I INTERFERON SIGNALING PATHWAY,12
BIOPOLYMERISATION,12
EGF RECEPTOR SIGNALING PATHWAY,12
GUSTATION,12
TRANSCRIPTION INITIATION FROM POL II PROMOTER,12
NOTUM DEVELOPMENT,11
ACUTE-PHASE RESPONSE,11
SEGMENTATION,11
T CELL MIGRATION,11
IL-23 PRODUCTION,11
GENERATION OF SPERMATOZOA,11
CELL AGEING,11
DOWN REGULATION OF NEURON CELL DEATH,11
APOPTOSIS IN RESPONSE TO ENDOPLASMIC RETICULUM STRESS,11
CHEMICAL SYNAPTIC TRANSMISSION,11
DOWN REGULATION OF TUMOR NECROSIS FACTOR PRODUCTION,11
POSITIVE REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR PRODUCTION,11
B CELL PROLIFERATION,11
POSITIVE REGULATION OF CLMF PRODUCTION,11
POSITIVE REGULATION OF NITRIC OXIDE ANABOLISM,11
B CELL DEVELOPMENT,11
SWIMMING,11
FATTY ACID METABOLIC PROCESS,11
BIOMINERAL TISSUE DEVELOPMENT,11
NEGATIVE REGULATION OF AUTOPHAGY,11
DOWN REGULATION OF INTERLEUKIN-6 PRODUCTION,11
ACTIVATION OF THE INHIBITOR OF KAPPA KINASE,11
POSITIVE REGULATION OF MAP KINASE ACTIVITY,11
POSITIVE REGULATION OF RECEPTOR SIGNALING PATHWAY VIA JAK-STAT,11
CELL CYCLE CONTROL,11
CELLULAR RESPONSE TO DRUG,11
FRIZZLED SIGNALING PATHWAY,11
PROTEIN AMINO ACID AUTOPHOSPHORYLATION,11
PEPTIDYL-TYROSINE PHOSPHORYLATION,11
BLOOD PRESSURE HOMEOSTASIS,11
DETOXIFICATION,11
HEARING,11
ERYTHROCYTE CELL DIFFERENTIATION,11
POSITIVE REGULATION OF TYPE I IFN PRODUCTION,11
MENOPAUSE,10
OPSONIZATION,10
POSITIVE REGULATION OF SUPEROXIDE ANION GENERATION,10
ENTRY OF VIRUS INTO HOST CELL,10
CELLULAR MEMBRANE ORGANISATION,10
GO:0072602,10
TYPE 2 IMMUNE RESPONSE,10
OIS,10
TLR4 SIGNALING PATHWAY,10
MATING,10
POSITIVE REGULATION OF ENDOTHELIAL CELL PROLIFERATION,10
DOWN REGULATION OF CELL GROWTH,10
RESPONSE TO TOXIC SUBSTANCE,10
FC-EPSILON RECEPTOR SIGNALING PATHWAY,10
CARBOHYDRATE METABOLIC PROCESS,10
INNERVATION,10
EATING BEHAVIOR,10
POSITIVE REGULATION OF CIT,10
OXIDATION REDUCTION,10
JAK-STAT SIGNAL TRANSDUCTION,10
REGULATION OF CELL SHAPE,10
DOWN REGULATION OF NEURON APOPTOSIS,10
CELLULAR RESPONSE TO ORGANIC CYCLIC COMPOUND,10
DENDRITIC CELL DIFFERENTIATION,10
PLACENTA DEVELOPMENT,10
IMPORT INTO NUCLEUS,10
CHOLESTEROL METABOLIC PROCESS,10
CITRIC ACID CYCLE,10
C-JUN N-TERMINAL KINASE CASCADE,10
CHEMOKINE SECRETION,10
BRAIN DEVELOPMENT,10
LUMEN FORMATION IN AN ANATOMICAL STRUCTURE,10
PROTEIN MODIFICATION,10
CELLULAR RESPONSE TO NERVE GROWTH FACTOR STIMULUS,10
POSITIVE REGULATION OF IFN-BETA PRODUCTION,10
IL-1-MEDIATED SIGNALING PATHWAY,10
SENSE OF SIGHT,10
MUSCLE CONTRACTION,9
ESTABLISHMENT OF T CELL POLARITY,9
EOSINOPHIL CHEMOTAXIS,9
CELL-MEDIATED IMMUNITY,9
TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE KINASE SIGNALING PATHWAY,9
RESPONSE TO ABIOTIC STRESS,9
CELL CYCLE PHASE TRANSITION,9
ERK CASCADE,9
EAR DEVELOPMENT,9
CELLULAR RESPONSE TO ACTIVE OXYGEN SPECIES,9
REFLEX,9
CYTOPLASMIC CALCIUM ION CONCENTRATION ELEVATION,9
ENDOTHELIAL CELL ACTIVATION,9
CELLULAR RESPONSE TO CYTOKINE STIMULUS,9
CELLULAR HOMEOSTASIS,9
LYMPHOCYTE PROLIFERATION,9
MRNA STABILIZATION,9
POSITIVE REGULATION OF INTERFERON-GAMMA PRODUCTION,9
REGULATION OF INSULIN SECRETION,9
EXTRINSIC APOPTOTIC PATHWAY,9
APOPTOSIS OF NEURONAL CELLS,9
STEROID ANABOLISM,9
MAST CELL DIFFERENTIATION,9
MACROPHAGE PROLIFERATION,9
ASYMMETRIC PROTEIN LOCALISATION,9
FLIGHT,9
DOUBLE-STRAND BREAK REPAIR VIA HOMOLOGOUS RECOMBINATION,9
BONE REMODELING,9
CARTILAGE BIOGENESIS,9
ENERGY HOMEOSTASIS,9
LUNG DEVELOPMENT,9
POSITIVE REGULATION OF CHEMOKINE PRODUCTION,9
POSITIVE REGULATION OF CYTOKINE PRODUCTION INVOLVED IN INFLAMMATORY RESPONSE,9
REPRODUCTION,9
RELEASE OF CYTOCHROME C FROM MITOCHONDRIA,9
"DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR RESULTING IN CELL CYCLE ARREST",9
FOLLICULAR PHASE,9
POSITIVE REGULATION OF EPITHELIAL CELL PROLIFERATION,9
IL-6-MEDIATED SIGNALING PATHWAY,9
RESPONSE TO NUTRIENT,9
MISMATCH REPAIR,9
ESTABLISHMENT OF INTEGRATED PROVIRAL LATENCY,9
TOLL/IL-1 RECEPTOR (TIR) DOMAIN-CONTAINING ADAPTOR-DEPENDENT TLR SIGNALING PATHWAY,9
APOPTOTIC SIGNALING PATHWAY,9
INOSITOL PHOSPHOLIPID-MEDIATED SIGNALING,9
NEURON CHEMOTAXIS,9
OOCYTE DEVELOPMENT,9
RECEPTOR INTERNALIZATION,9
PEPTIDYL-CYSTEINE S-NITROSYLATION,8
ION TRANSPORT,8
MEMBRANE TRANSPORT,8
GO:0072611,8
TOLERANCE INDUCTION,8
TROPISM,8
PROGRAMMED CELL DEATH OF T CELLS BY APOPTOSIS,8
DOWN REGULATION OF ANGIOGENESIS,8
RESPONSE TO HYDROGEN PEROXIDE,8
DOWN REGULATION OF PROTEIN KINASE ACTIVITY,8
