,bioprocess_count
GROWTH,156
GENE EXPRESSION,141
INFLAMMATION,123
SECRETION,120
IMMUNE RESPONSE,112
CELL POPULATION PROLIFERATION,110
CONJUGATION,108
CATAGEN,108
BREAKDOWN,107
METABOLIC PROCESS,106
ACTIVATION OF GLOBAL TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER,105
ANGIOGENESIS,104
INNATE IMMUNE RESPONSE,103
PATHOGENESIS,103
GO:0016265,100
CELL ADHESION,95
TRANSDUCTION,90
ACCIDENTAL CELL DEATH,86
EXOGEN,85
MEMORY,82
ALVEOLARIZATION,80
CHEMOTAXIS,79
PROTEIN ANABOLISM,78
AUTOPHAGY,78
CELL CYCLE,76
CYTOKINE AND CHEMOKINE MEDIATED SIGNALING PATHWAY,74
CHEMOATTRACTION,73
CELL EXPANSION,72
NEURAL TUBE FORMATION,71
SENSITIZATION,68
PIGMENTATION,67
AGEING,67
CELL DIFFERENTIATION,67
AKT SIGNAL TRANSDUCTION,67
PHASE II METABOLISM,66
LACTATION,65
POSITIVE REGULATION OF GENE EXPRESSION,65
CELL MIGRATION,65
CELL ACTIVATION,64
EMT,64
DIGESTION,63
T CELL ACTIVATION,62
IMPORT INTO CELL,61
AER,61
ARREST OF CELL CYCLE PROGRESSION,59
PEPTIDOLYSIS,58
PEROXISOME DIVISION,58
MAST CELL ACTIVATION,58
WOUND HEALING,56
ANTIGEN PRESENTATION,53
ANTI-APOPTOSIS,53
CELL DEVELOPMENT,50
ACTIVATION OF GENE-SPECIFIC TRANSCRIPTION,50
ACTIVATION OF NF-KAPPAB,50
REGENERATION,48
PHAGOCYTOSIS,47
ENDOCYTIC IMPORT INTO CELL,47
APOPTOSIS ACTIVATOR ACTIVITY,46
MAP KINASE CASCADE,46
REVERSE TRANSCRIPTION,44
ACTIVATION OF MAP KINASE,44
CASPASE-INDEPENDENT APOPTOSIS,41
LEARNING,41
T CELL PROLIFERATION,41
SIGNAL TRANSDUCTION,41
DOWN REGULATION OF GLOBAL TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER,40
PHOSPHATIDYLINOSITOL 3-KINASE CASCADE,40
RESPONSE TO ENDOTOXIN,40
CYTOKINE SECRETION,39
CLOTTING,38
ACQUIRED IMMUNE RESPONSE,38
G PROTEIN COUPLED RECEPTOR PROTEIN SIGNALING PATHWAY,38
IL-6 PRODUCTION,37
DNA METHYLATION,37
CHROMOSOMAL PAIRING,37
HYPERSENSITIVITY,37
BIOLOGICAL PROCESS,37
POSITIVE REGULATION OF CELL POPULATION PROLIFERATION,37
CALCIUM ION SIGNALING,37
PROTEIN AMINO ACID PHOSPHORYLATION,37
FERMENTATION,37
CELL MATURATION,36
MAST CELL DEGRANULATION,36
CELLULAR DNA DAMAGE RESPONSE,36
CELLULAR GLUCOSE METABOLIC PROCESS,36
EXCRETION,35
MACROPHAGE ACTIVATION,35
CELL CYCLE MODULATION,35
POSTTRANSCRIPTIONAL GENE SILENCING BY SIRNA,34
ANTIVIRAL RESPONSE,34
DEPHOSPHORYLATION,34
POSITIVE REGULATION OF ANGIOGENESIS,33
BONE BIOSYNTHESIS,33
DIAPAUSE,33
LIPID METABOLIC PROCESS,32
IL-13 PRODUCTION,31
CTLA-8 PRODUCTION,30
POST-TRANSLATIONAL AMINO ACID MODIFICATION,30
CELLULAR RESPONSE TO ENDOTOXIN,30
DNA REPAIR,29
POSITIVE REGULATION OF AKT SIGNALING CASCADE,29
GLOMERULAR FILTRATION,28
B CELL ACTIVATION,28
DEMETHYLATION,28
IL-10 PRODUCTION,28
EXOCYTOSIS,28
RESPONSE TO HYPOXIA,28
EMBRYO DEVELOPMENT,28
HUMORAL IMMUNE RESPONSE,27
T CELL CO-STIMULATION,27
TLR SIGNALING PATHWAY,27
POSITIVE REGULATION OF ERK CASCADE,27
CARRYING OF YOUNG,26
"BLOOD COAGULATION, PLATELET ACTIVATION",26
CLEAVAGE OF PLASMINOGEN TO PLASMIN,26
POSITIVE REGULATION OF APOPTOTIC PROCESS,26
CELL PHYSIOLOGY,26
GLOBAL TRANSCRIPTION REGULATION FROM POL II PROMOTER,26
BIOLUMINESCENCE,25
IL-4 PRODUCTION,25
ANTI-INFLAMMATORY RESPONSE,25
BLOOD CELL BIOSYNTHESIS,25
BONE RESORPTION,25
CELLULAR MRNA TRANSCRIPTION,24
COGNITION,24
NEGATIVE REGULATION OF GENE EXPRESSION,24
S PHASE,24
COSUPPRESSION,24
KERATINIZATION,24
PIECEMEAL MICROAUTOPHAGY OF THE NUCLEUS,24
POSITIVE REGULATION OF CELL MIGRATION,24
BIOPOLYMERISATION,24
GLUCOSE HOMEOSTASIS,24
DOWN REGULATION OF CELL PROLIFERATION,24
AUTOLYSIN ACTIVITY,23
TISSUE REMODELING,23
CELL KILLING,22
T CELL DEVELOPMENT,22
NERVOUS SYSTEM CELL GENERATION,22
VIRAL INFECTION,22
DNA ANABOLISM,22
HISTONE ACETYLATION,22
BONE MINERALIZATION,22
OSTEOBLAST CELL DIFFERENTIATION,22
CHEMOKINE PRODUCTION,21
IL-9 PRODUCTION,21
POSITIVE REGULATION OF PROTEIN AMINO ACID PHOSPHORYLATION,21
CELL SURFACE RECEPTOR LINKED SIGNAL TRANSDUCTION,21
FATTY ACID OXIDATION,21
PROTEASOME COMPLEX DISASSEMBLY,21
"3',5' CAMP-MEDIATED SIGNALING",21
IMMUNE CELL MIGRATION,21
OSTEOCLAST CELL DIFFERENTIATION,21
G1 PHASE,21
POSITIVE REGULATION OF BLOOD VESSEL SIZE,20
DEUBIQUITINATION,20
CLASS SWITCH RECOMBINATION,20
ADIPOCYTOKINE SIGNALING PATHWAY,20
PROTEASOMAL PATHWAY,20
CELLULAR RESPONSE TO TNF,20
OLFACTION,20
REGULATION OF GENE EXPRESSION,20
HETEROPHIL DEGRANULATION,20
GLUCOSE IMPORT,20
NEUTROPHIL ACTIVATION,20
POSITIVE REGULATION OF IL-6 PRODUCTION,20
IL-8 PRODUCTION,20
LIPID ANABOLISM,20
INSULIN SECRETION,19
NATURAL KILLER CELL ACTIVATION,19
DNA REPLICATION,19
DORMANCY MAINTENANCE OF SYMBIONT IN HOST,19
EXTRACELLULAR MATRIX ORGANISATION,19
NEUTROPHIL CHEMOTAXIS,19
BASE-EXCISION REPAIR,19
CELL DIVISION,19
TNF PRODUCTION,18
MENOPAUSE,18
COMPLEMENT ACTIVATION,18
ADCC,18
CHROMATIN MODELING,18
GENE SILENCING,18
ACTIVATION OF I-KAPPAB KINASE/NF-KAPPAB CASCADE,18
DRUG RESISTANCE,18
POSITIVE REGULATION OF PHOSPHATIDYLINOSITOL 3-KINASE CASCADE,18
NEURON CELL DEATH,18
ACTIVATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC PROCESS,18
RESPONSE TO CYTOKINE,18
POSITIVE REGULATION OF IL-8 PRODUCTION,18
POSITIVE REGULATION OF INFLAMMATORY RESPONSE,18
POSITIVE REGULATION OF TYROSINE PHOSPHORYLATION OF STAT PROTEIN,18
RESPONSE TO VIRUS,18
PHEROMONE CATABOLIC PROCESS,18
BLOOD CIRCULATION,18
CITRIC ACID CYCLE,18
SWIMMING,18
POSITIVE REGULATION OF PROTEIN STABILITY,18
SEGMENTATION,17
IFN-ALPHA PRODUCTION,17
PUPARIATION,17
HEAD EVERSION,17
INTRACELLULAR SIGNAL TRANSDUCTION,17
RESPONSE TO ACTIVITY,17
CELL CHEMOTAXIS,17
CELL-CELL SIGNALING,17
M PHASE,17
CELL LOCOMOTION,17
HEARING,17
DETOXIFICATION,17
HISTONE MODIFICATION,16
IL-12 PRODUCTION,16
REGULATION OF IMMUNE RESPONSE,16
IFN-EPSILON PRODUCTION,16
POSITIVE REGULATION OF PEPTIDYL-TYROSINE PHOSPHORYLATION,16
CELLULAR RESPONSE TO HYPOXIA,16
MATING,16
DOWN REGULATION OF GENE-SPECIFIC TRANSCRIPTION,16
B CELL RECEPTOR SIGNALING PATHWAY,16
IMMUNE CELL ACTIVATION,16
CHEMOKINE-MEDIATED SIGNALING PATHWAY,16
BIOMINERAL TISSUE DEVELOPMENT,16
LIPID BREAKDOWN,16
TISSUE REGENERATION,16
POSITIVE REGULATION OF TNF PRODUCTION,16
NEGATIVE REGULATION OF BLOOD VESSEL SIZE,15
NOTUM DEVELOPMENT,15
GO:0072608,15
EOSINOPHIL ACTIVATION,15
PROTEIN SECRETION,15
T-HELPER 1 TYPE IMMUNE RESPONSE,15
MONOCYTE ACTIVATION,15
CELL LOCALIZATION,15
IL-5 PRODUCTION,15
OIS,15
T CELL RECEPTOR SIGNALING PATHWAY,15
