gene,direct_disease_assoc,two_step_assoc_to_disease,disease_symptoms_gene_is_associated_with,symptoms_associated_count,gene_connections_count,final_symptom_score,relevance_score
CFTR,16,976,"['exocrine pancreatic insufficiency', 'elevated sweat chloride', 'male infertility', 'bronchiectasis', 'elevated urine calcium levels', 'asthma', 'rectal prolapse', 'failure to thrive', 'dehydration', 'cor pulmonale', 'recurrent bronchopulmonary infections', 'multiple pulmonary infections', 'chronic lung disease', 'biliary cirrhosis', 'dehydration', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis', 'bronchiectasis', 'bronchiectasis', 'bronchiectasis', 'bronchiectasis', 'bronchiectasis', 'bronchiectasis', 'meconium ileus', 'meconium ileus', 'biliary cirrhosis', 'biliary cirrhosis', 'exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency', 'cor pulmonale']",41,1741,19.68896409498649,1.0
CLCA4,2,36,"['elevated urine calcium levels', 'asthma', 'rectal prolapse', 'elevated sweat chloride', 'failure to thrive', 'exocrine pancreatic insufficiency', 'dehydration', 'male infertility', 'cor pulmonale', 'recurrent bronchopulmonary infections', 'multiple pulmonary infections', 'chronic lung disease', 'bronchiectasis', 'biliary cirrhosis']",14,97,7.5623471572392535,0.17420548631960667
TGFB1,8,1714,"['failure to thrive', 'elevated urine calcium levels', 'asthma', 'rectal prolapse', 'elevated sweat chloride', 'exocrine pancreatic insufficiency', 'dehydration', 'male infertility', 'cor pulmonale', 'recurrent bronchopulmonary infections', 'multiple pulmonary infections', 'chronic lung disease', 'bronchiectasis', 'biliary cirrhosis', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis', 'biliary cirrhosis', 'biliary cirrhosis', 'male infertility']",29,8889,10.123813995962465,0.1686809111388584
DCTN4,5,166,"['elevated urine calcium levels', 'asthma', 'rectal prolapse', 'elevated sweat chloride', 'failure to thrive', 'exocrine pancreatic insufficiency', 'dehydration', 'male infertility', 'cor pulmonale', 'recurrent bronchopulmonary infections', 'multiple pulmonary infections', 'chronic lung disease', 'bronchiectasis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis']",16,1170,9.184561368546879,0.161407365866521
HFE,3,248,"['exocrine pancreatic insufficiency', 'elevated urine calcium levels', 'asthma', 'rectal prolapse', 'elevated sweat chloride', 'failure to thrive', 'dehydration', 'male infertility', 'cor pulmonale', 'recurrent bronchopulmonary infections', 'multiple pulmonary infections', 'chronic lung disease', 'bronchiectasis', 'biliary cirrhosis']",14,907,7.562347157239252,0.10596998356747489
INS,4,2468,"['failure to thrive', 'exocrine pancreatic insufficiency', 'dehydration', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'chronic lung disease', 'dehydration', 'exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency', 'male infertility', 'bronchiectasis']",14,9554,6.253178239696078,0.0931534006334471
STX1A,2,146,"['elevated urine calcium levels', 'asthma', 'rectal prolapse', 'elevated sweat chloride', 'failure to thrive', 'exocrine pancreatic insufficiency', 'dehydration', 'male infertility', 'cor pulmonale', 'recurrent bronchopulmonary infections', 'multiple pulmonary infections', 'chronic lung disease', 'bronchiectasis', 'biliary cirrhosis']",14,546,7.5623471572392535,0.08834202156293401
CELA3B,2,64,"['exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency']",3,175,4.717281765248632,0.08468799740024087
TNFRSF1A,5,397,"['asthma', 'asthma', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis']",7,1620,4.171995822514055,0.07179922368733266
SCNN1B,6,129,"['bronchiectasis', 'elevated sweat chloride', 'failure to thrive', 'dehydration', 'bronchiectasis']",5,330,1.911521740889665,0.07105403457352227
