,disease_to_gene_occurrences,disease_to_gene_pub_counts,disease_to_int_to_gen_occurrences,disease_to_int_to_gene_pubs,disease_symtpoms_gene_related_to,disease_symtpoms_gene_related_to_count,unique_symptoms_count,gene_to_symptoms_pub_counts,gene_edges_out
CFTR,16,217,1458,2894,"['EXOCRINE PANCREATIC INSUFFICIENCY', 'BRONCHIECTASIS', 'MALE INFERTILITY', 'ELEVATED SWEAT CHLORIDE', 'ENLARGED LIVER', 'DISTAL INTESTINAL OBSTRUCTION SYNDROME', 'DECREASED ANTIBODY LEVEL IN BLOOD', 'DECREASED IMMUNE FUNCTION', 'BILIARY CIRRHOSIS', 'PULMONARY FIBROSIS', 'FREQUENT RESPIRATORY INFECTIONS', 'ELEVATED URINE CALCIUM LEVELS', 'ASTHMA', 'RECTAL PROLAPSE', 'INTESTINAL MALABSORPTION', 'DEHYDRATION', 'COR PULMONALE', 'FAILURE TO THRIVE', 'RECURRENT BRONCHOPULMONARY INFECTIONS', 'MULTIPLE PULMONARY INFECTIONS', 'CHRONIC LUNG DISEASE', 'DEHYDRATION', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BRONCHIECTASIS', 'BRONCHIECTASIS', 'BRONCHIECTASIS', 'BRONCHIECTASIS', 'BRONCHIECTASIS', 'BRONCHIECTASIS', 'BRONCHIECTASIS', 'PANCREATIC INSUFFICIENCY', 'MECONIUM ILEUS', 'MECONIUM ILEUS', 'BILIARY CIRRHOSIS', 'BILIARY CIRRHOSIS', 'MALABSORPTION']",39,21,498,1743
TGFB1,8,12,2058,6324,"['FREQUENT RESPIRATORY INFECTIONS', 'FAILURE TO THRIVE', 'ENLARGED LIVER', 'DISTAL INTESTINAL OBSTRUCTION SYNDROME', 'DECREASED ANTIBODY LEVEL IN BLOOD', 'DECREASED IMMUNE FUNCTION', 'BILIARY CIRRHOSIS', 'PULMONARY FIBROSIS', 'ELEVATED URINE CALCIUM LEVELS', 'BRONCHIECTASIS', 'ASTHMA', 'RECTAL PROLAPSE', 'INTESTINAL MALABSORPTION', 'EXOCRINE PANCREATIC INSUFFICIENCY', 'MALE INFERTILITY', 'DEHYDRATION', 'COR PULMONALE', 'RECURRENT BRONCHOPULMONARY INFECTIONS', 'MULTIPLE PULMONARY INFECTIONS', 'CHRONIC LUNG DISEASE', 'ELEVATED SWEAT CHLORIDE', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BRONCHIECTASIS', 'BILIARY CIRRHOSIS', 'BILIARY CIRRHOSIS']",35,21,66,8873
CAMP,7,13,2392,10346,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'DEHYDRATION', 'BRONCHIECTASIS']",6,3,19,10398
ELANE,7,5,739,2042,"['FREQUENT RESPIRATORY INFECTIONS', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BRONCHIECTASIS', 'BRONCHIECTASIS', 'BRONCHIECTASIS']",7,3,1,1811
SCNN1B,6,4,197,725,"['BRONCHIECTASIS', 'FREQUENT RESPIRATORY INFECTIONS', 'DEHYDRATION', 'FAILURE TO THRIVE', 'ELEVATED SWEAT CHLORIDE', 'BRONCHIECTASIS']",6,5,0,333
TNFRSF1A,5,1,599,2371,"['ASTHMA', 'ASTHMA', 'BILIARY CIRRHOSIS', 'BILIARY CIRRHOSIS', 'BILIARY CIRRHOSIS', 'BILIARY CIRRHOSIS', 'BILIARY CIRRHOSIS']",7,2,2,1643
CLCA1,5,2,119,592,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA']",6,1,5,135
SCNN1G,5,3,126,586,"['BRONCHIECTASIS', 'FREQUENT RESPIRATORY INFECTIONS', 'DEHYDRATION', 'FAILURE TO THRIVE', 'BRONCHIECTASIS']",5,4,0,234
SLPI,5,2,685,2257,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'CHRONIC LUNG DISEASE', 'BILIARY CIRRHOSIS', 'BRONCHIECTASIS']",6,4,4,1629
TNF,5,7,4996,16133,"['BILIARY CIRRHOSIS', 'BILIARY CIRRHOSIS', 'BILIARY CIRRHOSIS', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'PANCREATIC INSUFFICIENCY', 'BRONCHIECTASIS', 'BRONCHIECTASIS']",17,4,64,19314
