,disease_to_gene_occurrences,disease_to_gene_pub_counts,disease_to_int_to_gen_occurrences,disease_to_int_to_gene_pubs,disease_symtpoms_gene_related_to,disease_symtpoms_gene_related_to_count,unique_symptoms_count,gene_to_symptoms_pub_counts,gene_edges_out
CDSN,4,7,227,560,"['ACTIVATED PROTEIN C RESISTANCE', 'ACTIVATED PROTEIN C RESISTANCE', 'ACTIVATED PROTEIN C RESISTANCE', 'ACTIVATED PROTEIN C RESISTANCE', 'DEEP VEIN THROMBOSIS', 'DEEP VEIN THROMBOSIS', 'DEEP VEIN THROMBOSIS', 'DEEP VEIN THROMBOSIS']",8,2,13,960
TFPI,3,1,176,322,"['ACTIVATED PROTEIN C RESISTANCE', 'ACTIVATED PROTEIN C RESISTANCE', 'ACTIVATED PROTEIN C RESISTANCE', 'ACTIVATED PROTEIN C RESISTANCE', 'DEEP VEIN THROMBOSIS']",5,2,1,1275
F5,3,0,64,87,"['ABNORMAL PARTIAL THROMBOPLASTIN TIME', 'BLOOD CLOT IN A DEEP VEIN', 'ACTIVATED PROTEIN C RESISTANCE', 'BLOOD HYPERVISCOSITY', 'PRE-ECLAMPSIA', 'ACTIVATED PROTEIN C RESISTANCE', 'ACTIVATED PROTEIN C RESISTANCE', 'ACTIVATED PROTEIN C RESISTANCE', 'DEEP VEIN THROMBOSIS']",9,5,9,1001
SSB,2,2,104,208,"['ACTIVATED PROTEIN C RESISTANCE', 'ACTIVATED PROTEIN C RESISTANCE']",2,1,2,1380
PROS1,2,0,73,126,"['BLOOD HYPERVISCOSITY', 'BLOOD CLOT IN A DEEP VEIN', 'DEEP VEIN THROMBOSIS', 'ACTIVATED PROTEIN C RESISTANCE', 'ACTIVATED PROTEIN C RESISTANCE', 'ACTIVATED PROTEIN C RESISTANCE']",6,3,14,705
CD82,1,1,41,80,['ACTIVATED PROTEIN C RESISTANCE'],1,1,1,1676
KLK3,1,1,144,483,"['DEEP VEIN THROMBOSIS', 'ACTIVATED PROTEIN C RESISTANCE']",2,2,2,2156
SERPINE1,1,1,217,399,"['DEEP VEIN THROMBOSIS', 'ACTIVATED PROTEIN C RESISTANCE']",2,2,2,1935
SERPINB2,1,1,170,332,['ACTIVATED PROTEIN C RESISTANCE'],1,1,1,1297
JAK2,1,1,101,202,"['DEEP VEIN THROMBOSIS', 'DEEP VEIN THROMBOSIS', 'ACTIVATED PROTEIN C RESISTANCE']",3,2,2,2975
