,names,frequency,edges_out_count,ISS
HP:0007240,"['progressive gait ataxia', 'Gait ataxia, progressive']",Very frequent,69,2.407717061715384
HP:0007359,"['focal-onset seizure', 'Focal onset seizure', 'Focal seizure', 'Focal seizures', 'Focal-onset seizures', 'Partial seizure', 'Partial seizures', 'Seizure affecting one half of brain']",Very frequent,179,1.4948701855038717
HP:0002376,"['developmental regression', 'Loss of developmental milestones', 'Mental deterioration in childhood', 'Neurodevelopmental regression', 'Psychomotor regression', 'Psychomotor regression beginning in infancy', 'Psychomotor regression in infants', 'Psychomotor regression, progressive']",Very frequent,547,0.8551382496180255
HP:0011468,"['facial tics', 'Cramping of facial muscles', 'Facial spasms', 'Facial tics', 'Jerking of facial muscles', 'Mimic spasms', 'Spasms of facial muscles', 'Twitching of facial muscles']",Frequent,9,5.0
HP:0011172,"['complex febrile seizure', 'Complex febrile convulsion', 'Complex febrile seizures', 'Complex fever fit']",Frequent,10,4.743416490252569
HP:0011182,"['interictal epileptiform activity', 'Epileptiform EEG discharges']",Frequent,12,4.330127018922194
HP:0001327,"['photosensitive myoclonic seizure', 'Photically induced myoclonic seizure', 'Photomyoclonic seizure', 'Photomyoclonic seizures']",Frequent,13,4.160251471689219
HP:0012847,"['epilepsia partialis continua', 'Epilepsia partialis continua of Kojevnikov', ""Kojevnikov's epilepsia"", ""Kozhevnikov's epilepsia""]",Frequent,14,4.008918628686366
HP:0000466,"['limited neck range of motion', 'Limited cervical range of motion', 'Limited neck range of motion']",Frequent,19,3.4412360080584263
HP:0006813,"['focal hemiclonic seizure', 'Hemiclonic seizure', 'Hemiclonic seizures', 'Unilateral clonic seizure', 'Unilateral clonic seizures']",Frequent,19,3.4412360080584263
HP:0002349,"['focal aware seizure', 'Focal aware seizures', 'Focal seizure with retained awareness', 'Focal seizure without impairment of awareness', 'Focal seizure without impairment of consciousness or awareness', 'Focal seizures without impairment of consciousness or awareness', 'Partial seizure with retained awareness', 'Partial seizure without impairment of awareness', 'Simple partial seizure', 'Simple partial seizures']",Frequent,20,3.3541019662496843
HP:0007207,"['photosensitive tonic-clonic seizure', 'Photically induced tonic-clonic seizure', 'Photosensitive tonic-clonic seizures', 'Seizures, tonic-clonic, photosensitive']",Frequent,24,3.061862178478973
HP:0011169,"['generalized clonic seizure', 'Generalised clonic seizure', 'Generalised clonic seizures', 'Generalised onset clonic seizure', 'Generalised-onset clonic seizure', 'Generalized clonic seizures', 'Generalized onset clonic seizure', 'Generalized-onset clonic seizure']",Frequent,29,2.785430072655778
HP:0007270,"['atypical absence seizure', 'Atypical absence', 'Atypical absence seizures', 'Atypical petit mal seizures']",Frequent,30,2.7386127875258306
HP:0008770,"['obsessive-compulsive trait', 'Obsessive-compulsive trait', 'Obsessive-compulsive traits']",Frequent,36,2.5
HP:0002396,['cogwheel rigidity'],Frequent,57,1.9867985355975657
HP:0010841,"['multifocal epileptiform discharges', 'Multifocal EEG abnormality']",Frequent,72,1.7677669529663689
HP:0002384,"['focal impaired awareness seizure', 'Complex focal seizures', 'Complex partial seizure', 'Complex partial seizures', 'Dyscognitive seizures', 'Focal dyscognitive seizure', 'Focal impaired awareness seizures', 'Focal seizure with impairment of awareness', 'Focal seizure with loss of awareness', 'Focal seizures with impairment of consciousness or awareness', 'Localised dyscognitive seizure', 'Localised seizure with impaired awareness', 'Localised seizure with loss of awareness', 'Localized dyscognitive seizure', 'Localized seizure with impaired awareness', 'Localized seizure with loss of awareness', 'Partial dyscognitive seizure', 'Partial seizure with impairment of awareness', 'Partial seizure with loss of awareness']",Frequent,92,1.563858105428061
HP:0002373,"['febrile seizure (within the age range of 3 months to 6 years)', 'Febrile convulsion', 'Febrile seizures', 'Fever induced seizures', 'Seizures, febrile, in early childhood', 'Seizures, generalized, associated with fever']",Frequent,192,1.0825317547305484
HP:0001300,['parkinsonism'],Frequent,267,0.9179850920431569
HP:0002123,"['generalized myoclonic seizure', 'Generalised epileptic myoclonus', 'Generalised myoclonic seizure', 'Generalised myoclonic seizures', 'Generalized epileptic myoclonus', 'Generalized myoclonic seizures', 'Myoclonus seizures']",Frequent,279,0.8980265101338745
HP:0002067,"['bradykinesia', 'Slow movements', 'Slowness of movements']",Frequent,390,0.75955452531275
HP:0000739,"['anxiety', 'Anxiety', 'Anxiousness', 'Excessive, persistent worry and fear']",Frequent,485,0.6811149137797498
