gene,direct_disease_assoc,two_step_assoc_to_disease,disease_symptoms_gene_is_associated_with,symptoms_associated_count,gene_connections_count,final_symptom_score,relevance_score
ITGB4,2,41,"['abnormal blistering of the skin', 'milia', 'failure to thrive', 'corneal erosion', 'abnormal feet structure', 'dystrophic fingernails', 'dystrophic toenail', 'camptodactyly of finger', 'ectropion', 'finger syndactyly']",10,627,13.211905112052108,1.0
COL7A1,1,12,"['milia', 'abnormal blistering of the skin', 'corneal erosion', 'esophageal stricture', 'abnormality of the anus', 'constipation', 'cardiomyopathy, dilated', 'blepharitis', 'ectropion', 'dystrophic toenail', 'hypopigmented skin patches', 'increased post-void residual urine volume', 'failure to thrive', 'dystrophic fingernails', 'cheilitis']",15,377,20.68555155626982,0.8204411032046268
LAMA3,1,23,"['failure to thrive', 'abnormal blistering of the skin', 'milia', 'laryngeal stenosis', 'cardiomyopathy, dilated', 'esophageal stricture', 'corneal erosion', 'abnormal feet structure', 'camptodactyly of finger']",9,236,11.406042071957842,0.741632870990662
COL17A1,1,28,"['corneal erosion', 'abnormal blistering of the skin', 'abnormal feet structure', 'failure to thrive', 'camptodactyly of finger', 'milia', 'dystrophic fingernails', 'dystrophic toenail', 'abnormality of the dentition']",9,381,12.080976105276353,0.6845564526589187
LAMB3,1,28,"['failure to thrive', 'abnormal blistering of the skin', 'milia', 'laryngeal stenosis', 'cardiomyopathy, dilated', 'esophageal stricture', 'corneal erosion', 'abnormal feet structure', 'camptodactyly of finger']",9,341,11.406042071957842,0.6826109776343178
LAMC2,1,19,"['failure to thrive', 'abnormal blistering of the skin', 'milia', 'laryngeal stenosis', 'cardiomyopathy, dilated', 'esophageal stricture', 'corneal erosion', 'abnormal feet structure', 'camptodactyly of finger']",9,274,11.406042071957842,0.6297095623806882
KRT14,1,8,"['abnormal blistering of the skin', 'milia', 'failure to thrive', 'abnormal tooth enamel', 'constipation', 'abnormality of the nail', 'dystrophic fingernails', 'dystrophic toenail', 'hypopigmented skin patches']",9,469,12.893767525659845,0.4055896254225029
ITGA6,1,30,"['ectropion', 'ectropion', 'milia', 'milia', 'abnormal blistering of the skin']",5,566,6.805746112717763,0.3250606403956221
ITGA3,1,12,"['abnormal lung parenchyma morphology', 'abnormal lung parenchyma morphology', 'abnormal blistering of the skin', 'abnormal blistering of the skin', 'nephrotic syndrome', 'interstitial lung disease']",6,302,7.102219678520168,0.3099161476517844
KRT5,1,10,"['abnormal blistering of the skin', 'milia', 'failure to thrive', 'constipation', 'abnormality of the nail', 'abnormal tooth enamel', 'hypopigmented skin patches']",7,460,7.809294614259196,0.2613319509738714
PLEC,1,12,"['abnormal blistering of the skin', 'abnormal blistering of the skin', 'failure to thrive', 'abnormal tooth enamel', 'milia', 'finger syndactyly']",6,610,7.046199871895423,0.21630267589913968
