gene,direct_disease_assoc,two_step_assoc_to_disease,disease_symptoms_gene_is_associated_with,symptoms_associated_count,gene_connections_count,final_symptom_score,relevance_score
NF1,8,344,"['cryptorchidism', 'cryptorchidism', 'decreased size of malar bone', 'decreased size of malar bone', 'excessive orbital separation', 'excessive orbital separation', 'excessive orbital separation', 'ear, posterior angulation, increased', 'ear, posterior angulation, increased', 'antimongoloid eye slant', 'antimongoloid eye slant', 'deficiency of speech development', 'deficiency of speech development', 'pectus excavatum inferiorly', 'pectus excavatum inferiorly', 'pectus carinatum superiorly', 'pectus carinatum superiorly', 'axillary freckling', 'axillary freckling', 'axillary freckling', 'axillary freckling', 'muscle weakness', 'muscle weakness', 'specific learning disability', 'specific learning disability', 'specific learning disability', 'narrowing of pulmonic valve', 'narrowing of pulmonic valve', 'atrial septal defect, ostium secundum type', 'atrial septal defect, ostium secundum type', 'low hairline at back of neck', 'low hairline at back of neck', 'scoliosis', 'scoliosis', 'scoliosis', 'cubitus valgus', 'cubitus valgus', 'decreased body height', 'decreased body height', 'decreased body height', 'decreased body height', 'plexiform neurofibroma', 'plexiform neurofibroma', 'freckles in groin region', 'cancer of early nerve cells', 'decreased size of midface', 'neurofibroma', 'neurofibroma', 'neurofibroma', 'neurofibroma', 'neurofibroma', 'neurofibroma', 'neurofibroma', 'plexiform neurofibroma', 'plexiform neurofibroma', 'plexiform neurofibroma', 'plexiform neurofibroma', 'short stature', 'scoliosis', 'scoliosis', 'scoliosis', 'optic nerve glioma', 'intellectual disability', 'intellectual disability', 'intellectual disability']",65,1399,32.18425153900488,1.0
PTPN11,2,199,"['cryptorchidism', 'cryptorchidism', 'cryptorchidism', 'excessive orbital separation', 'excessive orbital separation', 'excessive orbital separation', 'ear, posterior angulation, increased', 'ear, posterior angulation, increased', 'narrowing of pulmonic valve', 'narrowing of pulmonic valve', 'narrowing of pulmonic valve', 'cubitus valgus', 'cubitus valgus', 'cubitus valgus', 'decreased body height', 'decreased body height', 'decreased body height', 'antimongoloid eye slant', 'antimongoloid eye slant', 'pectus excavatum inferiorly', 'pectus excavatum inferiorly', 'pectus carinatum superiorly', 'pectus carinatum superiorly', 'low hairline at back of neck', 'low hairline at back of neck', 'scoliosis', 'decreased size of midface', 'muscle weakness', 'cancer of early nerve cells', 'scoliosis', 'scoliosis', 'short stature', 'intellectual disability']",33,2704,11.7574623746552,0.09656902528464825
MAP2K2,1,45,"['excessive orbital separation', 'excessive orbital separation', 'ear, posterior angulation, increased', 'ear, posterior angulation, increased', 'antimongoloid eye slant', 'antimongoloid eye slant', 'narrowing of pulmonic valve', 'narrowing of pulmonic valve', 'decreased body height', 'decreased body height', 'cryptorchidism', 'scoliosis', 'cubitus valgus', 'low hairline at back of neck', 'specific learning disability', 'plexiform neurofibroma', 'axillary freckling', 'freckles in groin region', 'cancer of early nerve cells', 'atrial septal defect, ostium secundum type', 'decreased size of midface', 'muscle weakness', 'decreased size of malar bone', 'deficiency of speech development', 'pectus excavatum inferiorly', 'pectus carinatum superiorly', 'pulmonary valve stenosis', 'intellectual disability']",28,821,12.218816036097621,0.06120341408035899
LZTR1,3,23,"['decreased body height', 'decreased body height', 'cryptorchidism', 'antimongoloid eye slant', 'excessive orbital separation', 'narrowing of pulmonic valve', 'low hairline at back of neck', 'ear, posterior angulation, increased', 'decreased size of midface', 'muscle weakness', 'scoliosis', 'pulmonary valve stenosis']",12,269,2.4444375433857597,0.04247630519916725
OMG,2,22,['plexiform neurofibroma'],1,95,1.5811388300841895,0.030941424294615806
SOS1,1,33,"['cryptorchidism', 'cryptorchidism', 'excessive orbital separation', 'excessive orbital separation', 'antimongoloid eye slant', 'antimongoloid eye slant', 'pectus excavatum inferiorly', 'pectus excavatum inferiorly', 'narrowing of pulmonic valve', 'narrowing of pulmonic valve', 'scoliosis', 'scoliosis', 'cubitus valgus', 'cubitus valgus', 'decreased body height', 'decreased body height', 'low hairline at back of neck', 'decreased size of midface', 'muscle weakness', 'pulmonary valve stenosis', 'intellectual disability']",21,965,6.787902504738512,0.027835583831379566
PTEN,1,410,"['antimongoloid eye slant', 'antimongoloid eye slant', 'deficiency of speech development', 'scoliosis', 'scoliosis', 'scoliosis', 'decreased body height', 'plexiform neurofibroma', 'neurofibroma', 'intellectual disability', 'intellectual disability', 'intellectual disability']",12,5675,3.5524029783739466,0.027574068793953518
SPRED1,1,19,"['excessive orbital separation', 'excessive orbital separation', 'antimongoloid eye slant', 'antimongoloid eye slant', 'axillary freckling', 'axillary freckling', 'specific learning disability', 'specific learning disability', 'low hairline at back of neck', 'low hairline at back of neck', 'scoliosis', 'intellectual disability']",12,292,4.278828996520539,0.027230104994142152
EVI2A,1,11,"['plexiform neurofibroma', 'neurofibroma']",2,55,1.7768039501328976,0.02265327805771058
BRAF,0,267,"['excessive orbital separation', 'excessive orbital separation', 'excessive orbital separation', 'narrowing of pulmonic valve', 'narrowing of pulmonic valve', 'narrowing of pulmonic valve', 'decreased body height', 'decreased body height', 'decreased body height', 'ear, posterior angulation, increased', 'ear, posterior angulation, increased', 'antimongoloid eye slant', 'antimongoloid eye slant', 'scoliosis', 'cryptorchidism', 'cubitus valgus', 'low hairline at back of neck', 'cancer of early nerve cells', 'neurofibroma', 'intellectual disability']",20,3758,4.18251201553975,0.02208553370942006
