gene,direct_disease_assoc,two_step_assoc_to_disease,two_step_pub_count,disease_symptoms_gene_is_associated_with,symptoms_associated_count,disease_symptom_gene_pub_count,causes_symptom_count,gene_connections_count,relevance_score
MARS1,1,7,5,"['cough', 'dyspnea']",2,0,0,947,0.10876451953537487
EPO,0,14,26,"['coagulation', 'dyspnea', 'fever']",3,2,2,2163,0.07905686546463246
ACE,0,18,32,"['coughing', 'coughing', 'coughing']",3,2,1,2770,0.06787003610108304
TTR,0,14,8,"['coagulation', 'headache', 'headache']",3,191,0,3016,0.055039787798408485
ANG,0,24,78,['dyspnea'],1,0,0,1747,0.05037206639954207
IL6,0,23,58,"['coagulation', 'fever', 'fever', 'headache']",4,3,0,5945,0.04861227922624054
POMC,0,10,10,"['blood coagulation', 'coagulation', 'fever', 'fever', 'fever', 'fever', 'fever', 'headache']",8,24,1,5544,0.04816017316017316
INS,0,27,53,"['coagulation', 'blood coagulation', 'coughing', 'fever', 'fever']",5,3,2,9556,0.04782335705316032
G6PD,0,10,10,['fever'],1,71,0,974,0.04722792607802875
TNF,0,44,114,"['coagulation', 'fever', 'fever', 'fever', 'fever', 'coughing']",6,33,2,19385,0.04446737167913335
ERVK-10,0,14,24,"['blood coagulation', 'fever', 'fever']",3,5,0,3242,0.040715607649599014
ALB,0,16,9,"['blood coagulation', 'fever', 'fever']",3,4,1,4258,0.03922029121653359
FOS,0,18,34,"['myalgia', 'headache', 'headache', 'coughing']",4,3,1,6908,0.03532136653155762
TH,1,16,541,['fever'],1,9,0,5625,0.03342222222222222
IL1B,0,15,39,['fever'],1,0,0,1834,0.028898582333696837
SQSTM1,0,17,45,['dyspnea'],1,0,0,2110,0.02843601895734597
CRP,1,10,0,['coagulation'],1,0,0,2132,0.028142589118198873
LEP,0,15,20,"['fever', 'fever', 'respiratory distress']",3,5,1,5731,0.027918338858837898
IFNA1,0,15,15,"['blood coagulation', 'fever', 'fever', 'fever']",4,9,1,7483,0.02739542964051851
SOD2,0,14,40,['fever'],1,0,0,1895,0.026385224274406333
AGTR1,0,14,10,['coughing'],1,1,0,1949,0.022575679835813236
PPIG,0,16,45,['fever'],1,1,0,2544,0.02240566037735849
CAT,0,32,98,['fever'],1,1,0,5283,0.02195722127579027
STAT3,0,10,13,"['cough', 'fever', 'fever', 'fever']",4,1,1,6529,0.02190228212589983
SOD1,0,15,26,['dyspnea'],1,0,0,2388,0.020938023450586266
MAPK8,0,14,24,"['coagulation', 'fever', 'fever']",3,2,1,7490,0.020160213618157542
BAX,0,15,30,"['fever', 'fever']",2,3,0,4955,0.019576185671039355
TGFB1,0,12,21,"['headache', 'headache', 'fever', 'headache']",4,6,1,8887,0.01901654101496568
TP53,0,19,42,"['fever', 'dyspnea', 'headache', 'fever']",4,2,0,13972,0.016890924706555968
VEGFA,0,15,150,"['blood coagulation', 'coughing', 'coughing']",3,3,1,11157,0.016671148158107017
CYP2C19,0,10,6,['headache'],1,1,0,1891,0.01639344262295082
CAMP,0,15,71,"['fever', 'fever', 'headache']",3,6,1,10391,0.01636031180829564
PTH,0,11,4,"['headache', 'headache']",2,2,0,4624,0.01448961937716263
IL2,0,13,12,"['coagulation', 'fever']",2,0,0,5695,0.014047410008779631
CXCL8,0,12,19,['fever'],1,0,0,2981,0.01341831600134183
FAS,0,11,8,"['headache', 'fever']",2,1,0,5675,0.011982378854625551
ATM,0,12,21,['fever'],1,0,0,3536,0.011312217194570135
APP,0,17,21,['headache'],1,0,0,5291,0.010395010395010396
CDKN1A,0,16,29,['fever'],1,1,1,7189,0.01029350396439004
AKT1,0,25,51,"['coagulation', 'fever']",2,1,0,16327,0.00979971825810008
TLR4,0,12,10,['blood coagulation'],1,1,0,4494,0.008455718736092568
MAPK1,0,18,40,['coagulation'],1,0,0,11681,0.0053077647461689925
CA2,0,14,80,['fever'],1,3,0,16710,0.00353081986834231
