gene,direct_disease_assoc,two_step_assoc_to_disease,two_step_pub_count,disease_symptoms_gene_is_associated_with,symptoms_associated_count,disease_symptom_gene_pub_count,causes_symptom_count,gene_connections_count,relevance_score
EPO,0,14,26,"['coagulation', 'dyspnea', 'fever', 'hypoxemia']",4,3,3,2163,0.05825242718446602
TH,1,16,541,"['fever', 'pharyngitis']",2,9,0,5625,0.041777777777777775
MARS1,1,7,5,"['cough', 'dyspnea']",2,0,0,947,0.04118268215417107
TLR9,0,16,15,['pharyngitis'],1,0,0,775,0.04
ANG,0,24,78,['dyspnea'],1,0,0,1747,0.03434459072696051
MPO,0,14,33,['hypoxemia'],1,0,0,1110,0.03153153153153153
ACE,0,18,32,"['coughing', 'coughing', 'coughing']",3,2,1,2770,0.02924187725631769
IL1B,0,15,39,"['fever', 'pharyngitis']",2,0,0,1834,0.026172300981461286
SOD2,0,14,40,"['fever', 'hypoxemia']",2,0,0,1895,0.024802110817941952
CRP,1,10,0,"['coagulation', 'pharyngitis', 'pharyngitis']",3,0,0,2132,0.02345215759849906
SQSTM1,0,17,45,['dyspnea'],1,0,0,2110,0.01990521327014218
ALB,0,16,9,"['blood coagulation', 'fever', 'fever', 'pharyngitis']",4,4,1,4258,0.019492719586660403
IL6,0,23,58,"['coagulation', 'fever', 'fever', 'headache', 'pharyngitis', 'pharyngitis']",6,3,0,5945,0.017661900756938603
INS,0,27,53,"['coagulation', 'blood coagulation', 'coughing', 'fever', 'fever', 'chronic lung disease', 'pharyngitis']",7,4,2,9556,0.016638760987861028
PPIG,0,16,45,['fever'],1,1,0,2544,0.01650943396226415
LEP,0,15,20,"['fever', 'fever', 'chronic lung disease', 'respiratory distress']",4,6,1,5731,0.015355086372360844
FOS,0,18,34,"['immunodeficiency', 'myalgia', 'headache', 'headache', 'coughing']",5,3,1,6908,0.014765489287782282
CAT,0,32,98,['fever'],1,1,0,5283,0.014385765663448798
TNF,0,44,114,"['coagulation', 'fever', 'fever', 'fever', 'fever', 'coughing', 'hypoxemia', 'pharyngitis', 'pharyngitis', 'pharyngitis']",10,35,3,19385,0.014289399019860717
SOD1,0,15,26,['dyspnea'],1,0,0,2388,0.01423785594639866
VEGFA,0,15,150,"['blood coagulation', 'chronic lung disease', 'chronic lung disease', 'coughing', 'coughing', 'hypoxemia']",6,8,1,11157,0.013713363807475128
IFNA1,0,15,15,"['blood coagulation', 'fever', 'fever', 'fever']",4,9,1,7483,0.011893625551249499
CAMP,0,15,71,"['fever', 'fever', 'headache', 'pharyngitis', 'pharyngitis']",5,6,1,10391,0.01106726975267058
MAPK8,0,14,24,"['coagulation', 'fever', 'fever']",3,2,1,7490,0.009879839786381843
BAX,0,15,30,"['fever', 'fever']",2,3,0,4955,0.009687184661957619
CDKN1A,0,16,29,"['fever', 'chronic lung disease']",2,2,1,7189,0.009458895534844901
APP,0,17,21,['headache'],1,0,0,5291,0.006426006426006426
TP53,0,19,42,"['fever', 'dyspnea', 'headache', 'fever', 'pharyngitis']",5,2,0,13972,0.006083595762954481
AKT1,0,25,51,"['coagulation', 'fever']",2,1,0,16327,0.0038586390641269066
CD4,0,16,10,['pharyngitis'],1,0,0,7917,0.003663003663003663
MAPK1,0,18,40,['coagulation'],1,0,0,11681,0.003509973461176269
CA2,0,14,80,['fever'],1,3,0,16710,0.003231597845601436
