gene,direct_disease_assoc,two_step_assoc_to_disease,two_step_pub_count,disease_symptoms_gene_is_associated_with,symptoms_associated_count,disease_symptom_gene_pub_count,causes_symptom_count,gene_connections_count,relevance_score
CFTR,16,1370,8135,"['exocrine pancreatic insufficiency', 'elevated sweat chloride', 'male infertility', 'bronchiectasis', 'meconium ileus', 'hypercalciuria', 'asthma', 'rectal prolapse', 'failure to thrive', 'dehydration', 'cor pulmonale', 'recurrent pneumonia', 'chronic lung disease', 'recurrent bronchopulmonary infections', 'biliary cirrhosis', 'dehydration', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis', 'bronchiectasis', 'bronchiectasis', 'bronchiectasis', 'bronchiectasis', 'bronchiectasis', 'bronchiectasis', 'biliary cirrhosis', 'biliary cirrhosis', 'exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency', 'meconium ileus', 'meconium ileus', 'cor pulmonale']",42,6632,2,1742,4619.851365146991
TGFB1,8,2106,16133,"['failure to thrive', 'meconium ileus', 'hypercalciuria', 'asthma', 'rectal prolapse', 'elevated sweat chloride', 'exocrine pancreatic insufficiency', 'dehydration', 'male infertility', 'cor pulmonale', 'recurrent pneumonia', 'chronic lung disease', 'recurrent bronchopulmonary infections', 'bronchiectasis', 'biliary cirrhosis', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis', 'biliary cirrhosis', 'biliary cirrhosis', 'male infertility']",30,70,1,8887,2087.1767283037448
TNF,5,4854,48472,"['biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'cor pulmonale', 'bronchiectasis', 'bronchiectasis', 'male infertility']",18,67,1,19385,1902.1471773341812
CAT,3,3787,31046,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'male infertility', 'male infertility', 'exocrine pancreatic insufficiency']",9,3,0,5283,1417.9000530633327
INS,4,2871,26791,"['failure to thrive', 'exocrine pancreatic insufficiency', 'dehydration', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'chronic lung disease', 'dehydration', 'exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency', 'male infertility', 'bronchiectasis']",14,4,0,9556,1250.7007932583283
LEP,4,1624,17273,"['recurrent pneumonia', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'biliary cirrhosis', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'chronic lung disease']",15,53,1,5731,989.3879426868829
IL6,2,2476,14161,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'male infertility']",10,7,0,5945,971.158031745634
IL1B,4,1394,7927,"['biliary cirrhosis', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",9,3,0,1834,904.0932979427239
VEGFA,2,2365,18684,"['chronic lung disease', 'chronic lung disease', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'male infertility', 'biliary cirrhosis', 'biliary cirrhosis']",13,68,2,11157,880.9798939992356
CCL5,1,940,0,"['biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma']",14,23,1,2291,834.0229243395387
