gene,direct_disease_assoc,two_step_assoc_to_disease,disease_symptoms_gene_is_associated_with,symptoms_associated_count,gene_connections_count,final_symptom_score,relevance_score
XPA,5,243,"['entropion', 'entropion', 'ectropion', 'ectropion', 'cutaneous photosensitivity', 'cutaneous photosensitivity', 'poikiloderma', 'poikiloderma', 'ataxia', 'ataxia', 'craniofacial hyperostosis', 'arthralgia', 'cryptorchidism', 'papilloma', 'developmental regression', 'thin skin', 'hyperkeratosis', 'erythema', 'blepharitis', 'failure to thrive', 'optic atrophy', 'telangiectasia of the skin', 'fever', 'alopecia', 'freckling', 'dry skin', 'fatigue', 'intellectual disability, progressive', 'hypopigmented skin patches', 'hypermelanotic macule', 'cataract', 'abnormality of extrapyramidal motor function', 'decreased testicular size', 'melanoma', 'melanoma', 'peripheral neuropathy', 'peripheral neuropathy']",37,531,37.51905160750299,1.0
ERCC2,5,306,"['cataract', 'cataract', 'cataract', 'cutaneous photosensitivity', 'cutaneous photosensitivity', 'cutaneous photosensitivity', 'cutaneous photosensitivity', 'entropion', 'entropion', 'ectropion', 'ectropion', 'poikiloderma', 'poikiloderma', 'ataxia', 'ataxia', 'dry skin', 'optic atrophy', 'cryptorchidism', 'hyperkeratosis', 'freckling', 'craniofacial hyperostosis', 'arthralgia', 'papilloma', 'developmental regression', 'thin skin', 'erythema', 'blepharitis', 'failure to thrive', 'telangiectasia of the skin', 'fever', 'alopecia', 'fatigue', 'intellectual disability, progressive', 'hypopigmented skin patches', 'hypermelanotic macule', 'abnormality of extrapyramidal motor function', 'decreased testicular size', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'cataract', 'cataract', 'cataract', 'erythema']",46,1052,46.4476877775756,0.9237100282332803
ERCC3,6,248,"['cataract', 'cataract', 'cataract', 'optic atrophy', 'optic atrophy', 'cutaneous photosensitivity', 'cutaneous photosensitivity', 'cutaneous photosensitivity', 'ataxia', 'ataxia', 'freckling', 'freckling', 'dry skin', 'cryptorchidism', 'poikiloderma', 'ectropion', 'craniofacial hyperostosis', 'arthralgia', 'papilloma', 'developmental regression', 'thin skin', 'hyperkeratosis', 'erythema', 'blepharitis', 'failure to thrive', 'telangiectasia of the skin', 'fever', 'alopecia', 'fatigue', 'intellectual disability, progressive', 'hypopigmented skin patches', 'hypermelanotic macule', 'entropion', 'abnormality of extrapyramidal motor function', 'decreased testicular size', 'peripheral neuropathy', 'cataract', 'melanoma']",38,865,36.3826779382427,0.8867257071461865
DDB2,4,115,"['entropion', 'entropion', 'ectropion', 'ectropion', 'cutaneous photosensitivity', 'cutaneous photosensitivity', 'poikiloderma', 'poikiloderma', 'craniofacial hyperostosis', 'arthralgia', 'cryptorchidism', 'papilloma', 'developmental regression', 'thin skin', 'hyperkeratosis', 'erythema', 'blepharitis', 'failure to thrive', 'optic atrophy', 'telangiectasia of the skin', 'fever', 'alopecia', 'freckling', 'dry skin', 'fatigue', 'intellectual disability, progressive', 'ataxia', 'hypopigmented skin patches', 'hypermelanotic macule', 'cataract', 'abnormality of extrapyramidal motor function', 'decreased testicular size', 'melanoma']",33,395,35.30566653251509,0.803758971327098
ERCC5,5,212,"['cutaneous photosensitivity', 'optic atrophy', 'ataxia', 'cataract', 'dry skin', 'poikiloderma', 'craniofacial hyperostosis', 'arthralgia', 'cryptorchidism', 'papilloma', 'developmental regression', 'thin skin', 'hyperkeratosis', 'erythema', 'blepharitis', 'failure to thrive', 'telangiectasia of the skin', 'fever', 'alopecia', 'freckling', 'fatigue', 'intellectual disability, progressive', 'hypopigmented skin patches', 'hypermelanotic macule', 'entropion', 'ectropion', 'abnormality of extrapyramidal motor function', 'decreased testicular size', 'melanoma']",29,471,29.129210401777062,0.8030858266702168
XPC,4,163,"['entropion', 'entropion', 'ectropion', 'ectropion', 'cutaneous photosensitivity', 'cutaneous photosensitivity', 'poikiloderma', 'poikiloderma', 'craniofacial hyperostosis', 'arthralgia', 'cryptorchidism', 'papilloma', 'developmental regression', 'thin skin', 'hyperkeratosis', 'erythema', 'blepharitis', 'failure to thrive', 'optic atrophy', 'telangiectasia of the skin', 'fever', 'alopecia', 'freckling', 'dry skin', 'fatigue', 'intellectual disability, progressive', 'ataxia', 'hypopigmented skin patches', 'hypermelanotic macule', 'cataract', 'abnormality of extrapyramidal motor function', 'decreased testicular size', 'melanoma']",33,452,35.30566653251509,0.7894566103817455
ERCC4,5,211,"['optic atrophy', 'optic atrophy', 'dry skin', 'dry skin', 'cutaneous photosensitivity', 'cutaneous photosensitivity', 'ataxia', 'cryptorchidism', 'cataract', 'hypopigmented skin patches', 'poikiloderma', 'craniofacial hyperostosis', 'arthralgia', 'papilloma', 'developmental regression', 'thin skin', 'hyperkeratosis', 'erythema', 'blepharitis', 'failure to thrive', 'telangiectasia of the skin', 'fever', 'alopecia', 'freckling', 'fatigue', 'intellectual disability, progressive', 'melanoma', 'melanoma', 'peripheral neuropathy']",29,707,28.97617676950137,0.651494832128037
POLH,5,156,"['cutaneous photosensitivity', 'dry skin', 'poikiloderma', 'entropion', 'ectropion', 'melanoma']",6,328,8.60577869158647,0.266635643481498
ERCC6,1,151,"['entropion', 'entropion', 'ectropion', 'ectropion', 'cutaneous photosensitivity', 'cutaneous photosensitivity', 'cutaneous photosensitivity', 'cutaneous photosensitivity', 'poikiloderma', 'poikiloderma', 'ataxia', 'ataxia', 'ataxia', 'freckling', 'freckling', 'freckling', 'cryptorchidism', 'cryptorchidism', 'cataract', 'cataract', 'cataract', 'optic atrophy', 'optic atrophy', 'dry skin', 'dry skin', 'dry skin', 'failure to thrive', 'failure to thrive', 'cataract']",29,666,31.531169012866435,0.20591033543740087
TP53,2,1268,"['fever', 'papilloma', 'fatigue', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'papilloma', 'papilloma', 'papilloma', 'papilloma', 'erythema', 'alopecia', 'alopecia', 'alopecia', 'alopecia', 'alopecia', 'pterygium', 'pterygium', 'cataract', 'fever', 'peripheral neuropathy']",29,13974,24.16526760657431,0.16360635291471468
