,gene,direct_disease_assoc,two_step_assoc_to_disease,disease_symptoms_gene_is_associated_with,symptoms_associated_count,gene_connections_count,final_symptom_score,relevance_score
20,TP63,0,413,"['cryptorchidism', 'cryptorchidism', 'blepharitis', 'blepharitis', 'blepharitis', 'extreme sensitivity of the eyes to light', 'extreme sensitivity of the eyes to light', 'hyperkeratosis', 'hyperkeratosis', 'thin skin', 'thin skin', 'thin skin', 'decreased body height', 'decreased body height', 'dry skin', 'dry skin', 'cutaneous photosensitivity', 'cutaneous photosensitivity', 'freckling', 'freckling', 'hearing loss, sensorineural', 'alopecia', 'entropion', 'papilloma', 'papilloma', 'melanoma', 'melanoma', 'melanoma', 'pterygium', 'melanocytic nevus']",30,2924,31.75231607171596,0.08608605844616994
26,KIT,0,437,"['flat, discolored area of skin', 'fatigue', 'hypermelanotic macule', 'cryptorchidism', 'erythema', 'abnormally small cranium', 'telangiectasia of the skin', 'ataxia', 'hypopigmented skin patches', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'alopecia', 'alopecia', 'alopecia', 'peripheral neuropathy', 'papilloma']",28,4700,30.565174318107644,0.06921614158964826
27,BRAF,0,374,"['decreased body height', 'decreased body height', 'decreased body height', 'hearing loss, sensorineural', 'hearing loss, sensorineural', 'hyperkeratosis', 'hyperkeratosis', 'hyperkeratosis', 'failure to thrive', 'failure to thrive', 'cerebral cortex atrophy', 'cerebral cortex atrophy', 'cryptorchidism', 'optic atrophy', 'dry skin', 'involuntary muscle stiffness, contraction, or spasm', 'abnormality of cognition', 'decreased activity of gonads', 'freckling', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'fatigue']",32,3758,29.257822864951887,0.06319382862775971
33,TNF,0,861,"['alopecia', 'alopecia', 'alopecia', 'fever', 'fever', 'fever', 'fever', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'erythema', 'erythema', 'macule', 'fatigue', 'fatigue', 'fatigue', 'cataract', 'keratitis', 'pterygium', 'hypogonadism']",33,19388,23.076566696816172,0.05103783326214674
36,PIK3CA,0,494,"['failure to thrive', 'telangiectasia of the skin', 'optic atrophy', 'hypermelanotic macule', 'cataract', 'flat, discolored area of skin', 'decreased body height', 'papilloma', 'abnormality of cognition', 'fever', 'fatigue', 'ataxia', 'hypopigmented skin patches', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'papilloma', 'papilloma', 'peripheral neuropathy']",21,7498,23.19796532053649,0.047008247138990066
42,STAT3,0,459,"['decreased body height', 'erythema', 'failure to thrive', 'fever', 'ataxia', 'keratitis', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'fever', 'fever', 'papilloma', 'papilloma', 'alopecia', 'peripheral neuropathy']",20,6534,20.246269332374553,0.040726737536229324
47,VEGFA,0,492,"['fatigue', 'fatigue', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'pterygium', 'pterygium', 'pterygium', 'erythema', 'erythema', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'cataract', 'cataract', 'papilloma', 'papilloma', 'macule', 'alopecia', 'alopecia', 'keratitis', 'keratitis']",28,11164,21.888175539241857,0.03617879748575845
48,IL2,0,418,"['melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'keratitis', 'keratitis', 'keratitis', 'fatigue', 'fever', 'peripheral neuropathy', 'alopecia', 'papilloma']",17,5719,18.391957245585346,0.035909806707813484
49,MGMT,0,315,"['melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'papilloma', 'papilloma']",7,1286,11.562852951678124,0.035391174506982065
51,RB1,0,310,"['fever', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'papilloma', 'papilloma', 'peripheral neuropathy']",11,2163,14.850144024672543,0.03462594706392105
54,CD4,0,445,"['melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'keratitis', 'keratitis', 'alopecia', 'alopecia', 'alopecia', 'fatigue', 'papilloma', 'papilloma', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'hypogonadism']",19,7918,18.50840640153308,0.03273689243685566
55,ERBB2,0,303,"['melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'papilloma', 'papilloma', 'papilloma', 'alopecia', 'peripheral neuropathy']",11,2870,15.804573185397654,0.031279117873931166
61,MMP9,0,476,"['decreased body height', 'cataract', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'blepharitis', 'pterygium', 'pterygium', 'fatigue', 'fever', 'keratitis', 'papilloma']",18,7923,15.25384801813693,0.02881027289882796
62,TCEAL1,0,526,"['fever', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'papilloma', 'papilloma', 'alopecia', 'pterygium', 'hyperkeratosis']",10,5905,11.898326884601127,0.0286917952864328
63,MTOR,0,445,"['cryptorchidism', 'abnormality of cognition', 'hypopigmented skin patches', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'alopecia', 'papilloma', 'peripheral neuropathy']",13,6881,15.120933914692467,0.028611771714459805
64,TGFB1,0,518,"['failure to thrive', 'decreased activity of gonads', 'optic atrophy', 'ataxia', 'fever', 'cataract', 'short stature', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'melanoma', 'melanoma', 'papilloma', 'papilloma', 'papilloma', 'erythema']",16,8898,14.61567709681255,0.028368041061795295
70,MMP2,0,435,"['decreased body height', 'arthralgia', 'hypermelanotic macule', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'papilloma', 'pterygium', 'cataract', 'peripheral neuropathy', 'peripheral neuropathy']",14,7220,14.226109830604189,0.02565359107356233
71,SNRPE,0,295,"['alopecia', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'fatigue']",9,1780,10.388193616083235,0.025209278204842662
72,NOTCH1,0,334,"['failure to thrive', 'alopecia', 'involuntary muscle stiffness, contraction, or spasm', 'cataract', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'papilloma', 'peripheral neuropathy', 'peripheral neuropathy', 'alopecia']",12,2665,10.417812669814207,0.02347042825865201
73,TLR4,0,305,"['keratitis', 'keratitis', 'keratitis', 'keratitis', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'fatigue', 'peripheral neuropathy', 'peripheral neuropathy', 'papilloma']",14,4487,14.644968294039787,0.02331131088133006
76,ESR1,0,474,"['cataract', 'hypogonadism', 'hypogonadism', 'melanoma', 'melanoma', 'melanoma', 'alopecia', 'alopecia', 'arthralgia', 'fever', 'peripheral neuropathy', 'papilloma']",12,5345,9.791248572022106,0.022234086878660547
78,PTGS2,0,298,"['melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'fever', 'papilloma', 'papilloma', 'papilloma', 'peripheral neuropathy']",10,4582,14.391193292977777,0.022128351618723344
82,BIRC5,0,320,"['melanoma', 'melanoma', 'melanoma', 'melanoma', 'pterygium', 'pterygium', 'papilloma']",7,2125,8.897112957840664,0.02140318322379341
