disease_to_gene_occurrences,disease_to_gene_pub_counts,disease_to_int_to_gen_occurrences,disease_to_int_to_gene_pubs,disease_symtpoms_gene_related_to,disease_symtpoms_gene_related_to_count,unique_symptoms_count,gene_to_symptoms_pub_counts,gene_edges_out
6,13,92,0,"['DECREASED ACTIVITY OF GONADS', 'DECREASED ACTIVITY OF GONADS', 'DECREASED ACTIVITY OF GONADS', 'ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'HEARING LOSS, SENSORINEURAL', 'HEARING LOSS, SENSORINEURAL', 'CATARACT', 'CATARACT', 'CATARACT', 'OPTIC ATROPHY', 'OPTIC ATROPHY', 'CUTANEOUS PHOTOSENSITIVITY', 'CUTANEOUS PHOTOSENSITIVITY', 'CUTANEOUS PHOTOSENSITIVITY', 'ATAXIA', 'ATAXIA', 'FRECKLING', 'FRECKLING', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'ATROPHIC SKIN', 'ATROPHIC SKIN', 'ABNORMAL TISSUE MASS', 'DRY SKIN', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'NEUROPATHY', 'CANCER OF SKIN PIGMENT CELLS', 'DELAYED BONE AGE', 'CEREBRAL CORTEX ATROPHY', 'CROSS-EYED', 'ABNORMALITY OF COGNITION', 'CRYPTORCHIDISM', 'CONGENITAL DEAFNESS', 'POIKILODERMA', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'ECTROPION', 'FLAT, DISCOLORED AREA OF SKIN', 'CRANIOFACIAL HYPEROSTOSIS', 'ADHESION OF EYELIDS', 'ARTHRALGIA', 'PAPILLOMA', 'DEVELOPMENTAL REGRESSION', 'ABNORMAL EEG', 'FATIGUE', 'THIN SKIN', 'HYPERKERATOSIS', 'ABNORMALITY OF EXTRAPYRAMIDAL MOTOR FUNCTION', 'ERYTHEMA', 'CONJUNCTIVAL TELANGIECTASES', 'CORNEAL INFLAMMATION', 'BLEPHARITIS', 'DIFFUSELY THICKENED SKIN', 'DEPRESSED NASAL ALAE', 'ABNORMAL DENTITION', 'FEVER', 'ABNORMAL URINARY AMINO-ACID FINDINGS', 'DECREASED TESTICULAR SIZE', 'TELANGIECTASIA OF THE SKIN', 'ALOPECIA', 'FAILURE TO THRIVE', 'ABSENT OR DECREASED DEEP TENDON REFLEXES', 'INTELLECTUAL DISABILITY, PROGRESSIVE', 'EPILEPSY', 'EYE TUMOR', 'PTERYGIA', 'HYPOPIGMENTED SKIN PATCHES', 'HYPERMELANOTIC MACULE', 'CUTANEOUS TELANGIECTASIA', 'ENTROPION', 'BEAUTY MARK', 'CLOUDY CORNEA', 'PERIPHERAL NEUROPATHY', 'CATARACT', 'CATARACT', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ATAXIA', 'TELANGIECTASIA', 'ECTROPION', 'ALOPECIA']",83,62,30,1097
5,14,94,0,"['ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'CONGENITAL DEAFNESS', 'CONGENITAL DEAFNESS', 'CATARACT', 'CATARACT', 'CATARACT', 'CUTANEOUS PHOTOSENSITIVITY', 'CUTANEOUS PHOTOSENSITIVITY', 'CUTANEOUS PHOTOSENSITIVITY', 'CUTANEOUS PHOTOSENSITIVITY', 'HEARING LOSS, SENSORINEURAL', 'HEARING LOSS, SENSORINEURAL', 'CORNEAL INFLAMMATION', 'CORNEAL INFLAMMATION', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'ENTROPION', 'ENTROPION', 'ECTROPION', 'ECTROPION', 'CUTANEOUS TELANGIECTASIA', 'CUTANEOUS TELANGIECTASIA', 'POIKILODERMA', 'POIKILODERMA', 'ATAXIA', 'ATAXIA', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'ATROPHIC SKIN', 'ATROPHIC SKIN', 'DECREASED ACTIVITY OF GONADS', 'DECREASED ACTIVITY OF GONADS', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'DRY SKIN', 'NEUROPATHY', 'CANCER OF SKIN PIGMENT CELLS', 'CEREBRAL CORTEX ATROPHY', 'CROSS-EYED', 'OPTIC ATROPHY', 'DELAYED BONE AGE', 'HYPERKERATOSIS', 'FRECKLING', 'CRYPTORCHIDISM', 'ABSENT OR DECREASED DEEP TENDON REFLEXES', 'EPILEPSY', 'FLAT, DISCOLORED AREA OF SKIN', 'CRANIOFACIAL HYPEROSTOSIS', 'ADHESION OF EYELIDS', 'ARTHRALGIA', 'ABNORMAL TISSUE MASS', 'PAPILLOMA', 'DEVELOPMENTAL REGRESSION', 'ABNORMAL EEG', 'FATIGUE', 'THIN SKIN', 'ABNORMALITY OF EXTRAPYRAMIDAL MOTOR FUNCTION', 'ERYTHEMA', 'CONJUNCTIVAL TELANGIECTASES', 'BLEPHARITIS', 'DIFFUSELY THICKENED SKIN', 'DEPRESSED NASAL ALAE', 'ABNORMAL DENTITION', 'ABNORMALITY OF COGNITION', 'FEVER', 'ABNORMAL URINARY AMINO-ACID FINDINGS', 'DECREASED TESTICULAR SIZE', 'TELANGIECTASIA OF THE SKIN', 'ALOPECIA', 'FAILURE TO THRIVE', 'INTELLECTUAL DISABILITY, PROGRESSIVE', 'EYE TUMOR', 'PTERYGIA', 'HYPOPIGMENTED SKIN PATCHES', 'HYPERMELANOTIC MACULE', 'BEAUTY MARK', 'CLOUDY CORNEA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'CATARACT', 'CATARACT', 'CATARACT', 'ERYTHEMA', 'PAPILLOMA', 'ECTROPION', 'ATAXIA', 'TELANGIECTASIA']",94,61,100,1270
5,4,91,0,"['ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'HEARING LOSS, SENSORINEURAL', 'HEARING LOSS, SENSORINEURAL', 'CORNEAL INFLAMMATION', 'CORNEAL INFLAMMATION', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'ENTROPION', 'ENTROPION', 'ECTROPION', 'ECTROPION', 'CUTANEOUS PHOTOSENSITIVITY', 'CUTANEOUS PHOTOSENSITIVITY', 'CUTANEOUS TELANGIECTASIA', 'CUTANEOUS TELANGIECTASIA', 'POIKILODERMA', 'POIKILODERMA', 'ATAXIA', 'ATAXIA', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'ATROPHIC SKIN', 'ATROPHIC SKIN', 'CANCER OF SKIN PIGMENT CELLS', 'FLAT, DISCOLORED AREA OF SKIN', 'CRANIOFACIAL HYPEROSTOSIS', 'DECREASED BODY HEIGHT', 'NEUROPATHY', 'ADHESION OF EYELIDS', 'ARTHRALGIA', 'DELAYED BONE AGE', 'ABNORMAL TISSUE MASS', 'PAPILLOMA', 'DEVELOPMENTAL REGRESSION', 'ABNORMAL EEG', 'CEREBRAL CORTEX ATROPHY', 'FATIGUE', 'THIN SKIN', 'HYPERKERATOSIS', 'DRY SKIN', 'ABNORMALITY OF EXTRAPYRAMIDAL MOTOR FUNCTION', 'ERYTHEMA', 'CONJUNCTIVAL TELANGIECTASES', 'CROSS-EYED', 'BLEPHARITIS', 'DIFFUSELY THICKENED SKIN', 'DEPRESSED NASAL ALAE', 'ABNORMAL DENTITION', 'DECREASED ACTIVITY OF GONADS', 'ABNORMALITY OF COGNITION', 'FEVER', 'ABNORMAL URINARY AMINO-ACID FINDINGS', 'DECREASED TESTICULAR SIZE', 'OPTIC ATROPHY', 'TELANGIECTASIA OF THE SKIN', 'ALOPECIA', 'FAILURE TO THRIVE', 'FRECKLING', 'CRYPTORCHIDISM', 'ABSENT OR DECREASED DEEP TENDON REFLEXES', 'INTELLECTUAL DISABILITY, PROGRESSIVE', 'EPILEPSY', 'CONGENITAL DEAFNESS', 'EYE TUMOR', 'PTERYGIA', 'HYPOPIGMENTED SKIN PATCHES', 'HYPERMELANOTIC MACULE', 'CATARACT', 'BEAUTY MARK', 'CLOUDY CORNEA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PERIPHERAL NEUROPATHY', 'HEARING IMPAIRMENT', 'PAPILLOMA', 'TELANGIECTASIA', 'ENTROPION', 'ATAXIA', 'NEUROPATHY', 'BLEPHARITIS', 'ECTROPION']",83,63,285,748
5,7,59,0,"['ATROPHIC SKIN', 'CANCER OF SKIN PIGMENT CELLS', 'CUTANEOUS PHOTOSENSITIVITY', 'DRY SKIN', 'CORNEAL INFLAMMATION', 'POIKILODERMA', 'CUTANEOUS TELANGIECTASIA', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'ENTROPION', 'ECTROPION', 'TELANGIECTASIA', 'ENTROPION', 'PTERYGIUM', 'CATARACT', 'ATAXIA', 'MALIGNANT MELANOMA']",16,15,0,565
5,10,72,0,"['CUTANEOUS PHOTOSENSITIVITY', 'ABNORMALLY SMALL CRANIUM', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'DECREASED BODY HEIGHT', 'OPTIC ATROPHY', 'ATAXIA', 'CATARACT', 'ATROPHIC SKIN', 'NEUROPATHY', 'CANCER OF SKIN PIGMENT CELLS', 'CEREBRAL CORTEX ATROPHY', 'DRY SKIN', 'HEARING LOSS, SENSORINEURAL', 'DECREASED ACTIVITY OF GONADS', 'ABSENT OR DECREASED DEEP TENDON REFLEXES', 'EPILEPSY', 'CONGENITAL DEAFNESS', 'POIKILODERMA', 'FLAT, DISCOLORED AREA OF SKIN', 'CRANIOFACIAL HYPEROSTOSIS', 'ADHESION OF EYELIDS', 'ARTHRALGIA', 'DELAYED BONE AGE', 'ABNORMAL TISSUE MASS', 'PAPILLOMA', 'DEVELOPMENTAL REGRESSION', 'ABNORMAL EEG', 'FATIGUE', 'THIN SKIN', 'HYPERKERATOSIS', 'ABNORMALITY OF EXTRAPYRAMIDAL MOTOR FUNCTION', 'ERYTHEMA', 'CONJUNCTIVAL TELANGIECTASES', 'CORNEAL INFLAMMATION', 'CROSS-EYED', 'BLEPHARITIS', 'DIFFUSELY THICKENED SKIN', 'DEPRESSED NASAL ALAE', 'ABNORMAL DENTITION', 'ABNORMALITY OF COGNITION', 'FEVER', 'ABNORMAL URINARY AMINO-ACID FINDINGS', 'DECREASED TESTICULAR SIZE', 'TELANGIECTASIA OF THE SKIN', 'ALOPECIA', 'FAILURE TO THRIVE', 'FRECKLING', 'CRYPTORCHIDISM', 'INTELLECTUAL DISABILITY, PROGRESSIVE', 'EYE TUMOR', 'PTERYGIA', 'HYPOPIGMENTED SKIN PATCHES', 'HYPERMELANOTIC MACULE', 'CUTANEOUS TELANGIECTASIA', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'ENTROPION', 'ECTROPION', 'BEAUTY MARK', 'CLOUDY CORNEA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'TELANGIECTASIA', 'ATAXIA', 'ECTROPION']",64,61,0,697
5,5,110,185,"['ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'CONGENITAL DEAFNESS', 'CONGENITAL DEAFNESS', 'OPTIC ATROPHY', 'OPTIC ATROPHY', 'DRY SKIN', 'DRY SKIN', 'CUTANEOUS PHOTOSENSITIVITY', 'CUTANEOUS PHOTOSENSITIVITY', 'DECREASED BODY HEIGHT', 'ATAXIA', 'ATROPHIC SKIN', 'CROSS-EYED', 'DECREASED ACTIVITY OF GONADS', 'CRYPTORCHIDISM', 'CATARACT', 'CANCER OF SKIN PIGMENT CELLS', 'ABNORMAL TISSUE MASS', 'HEARING LOSS, SENSORINEURAL', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'EPILEPSY', 'HYPOPIGMENTED SKIN PATCHES', 'POIKILODERMA', 'CLOUDY CORNEA', 'FLAT, DISCOLORED AREA OF SKIN', 'CRANIOFACIAL HYPEROSTOSIS', 'NEUROPATHY', 'ADHESION OF EYELIDS', 'ARTHRALGIA', 'DELAYED BONE AGE', 'PAPILLOMA', 'DEVELOPMENTAL REGRESSION', 'ABNORMAL EEG', 'CEREBRAL CORTEX ATROPHY', 'FATIGUE', 'THIN SKIN', 'HYPERKERATOSIS', 'ABNORMALITY OF EXTRAPYRAMIDAL MOTOR FUNCTION', 'ERYTHEMA', 'CONJUNCTIVAL TELANGIECTASES', 'CORNEAL INFLAMMATION', 'BLEPHARITIS', 'DIFFUSELY THICKENED SKIN', 'DEPRESSED NASAL ALAE', 'ABNORMAL DENTITION', 'ABNORMALITY OF COGNITION', 'FEVER', 'ABNORMAL URINARY AMINO-ACID FINDINGS', 'DECREASED TESTICULAR SIZE', 'TELANGIECTASIA OF THE SKIN', 'ALOPECIA', 'FAILURE TO THRIVE', 'FRECKLING', 'ABSENT OR DECREASED DEEP TENDON REFLEXES', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PERIPHERAL NEUROPATHY', 'TELANGIECTASIA', 'ATAXIA']",61,53,7,934
4,0,80,0,"['CORNEAL INFLAMMATION', 'CORNEAL INFLAMMATION', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'ENTROPION', 'ENTROPION', 'ECTROPION', 'ECTROPION', 'CUTANEOUS PHOTOSENSITIVITY', 'CUTANEOUS PHOTOSENSITIVITY', 'CUTANEOUS TELANGIECTASIA', 'CUTANEOUS TELANGIECTASIA', 'POIKILODERMA', 'POIKILODERMA', 'ATROPHIC SKIN', 'ATROPHIC SKIN', 'FLAT, DISCOLORED AREA OF SKIN', 'CRANIOFACIAL HYPEROSTOSIS', 'DECREASED BODY HEIGHT', 'NEUROPATHY', 'ADHESION OF EYELIDS', 'CANCER OF SKIN PIGMENT CELLS', 'ARTHRALGIA', 'DELAYED BONE AGE', 'ABNORMAL TISSUE MASS', 'PAPILLOMA', 'DEVELOPMENTAL REGRESSION', 'ABNORMAL EEG', 'CEREBRAL CORTEX ATROPHY', 'FATIGUE', 'THIN SKIN', 'HYPERKERATOSIS', 'DRY SKIN', 'ABNORMALITY OF EXTRAPYRAMIDAL MOTOR FUNCTION', 'ERYTHEMA', 'CONJUNCTIVAL TELANGIECTASES', 'CROSS-EYED', 'HEARING LOSS, SENSORINEURAL', 'BLEPHARITIS', 'DIFFUSELY THICKENED SKIN', 'DEPRESSED NASAL ALAE', 'ABNORMALLY SMALL CRANIUM', 'ABNORMAL DENTITION', 'DECREASED ACTIVITY OF GONADS', 'ABNORMALITY OF COGNITION', 'FEVER', 'ABNORMAL URINARY AMINO-ACID FINDINGS', 'DECREASED TESTICULAR SIZE', 'OPTIC ATROPHY', 'TELANGIECTASIA OF THE SKIN', 'ALOPECIA', 'FAILURE TO THRIVE', 'FRECKLING', 'CRYPTORCHIDISM', 'ABSENT OR DECREASED DEEP TENDON REFLEXES', 'INTELLECTUAL DISABILITY, PROGRESSIVE', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'ATAXIA', 'EPILEPSY', 'CONGENITAL DEAFNESS', 'EYE TUMOR', 'PTERYGIA', 'HYPOPIGMENTED SKIN PATCHES', 'HYPERMELANOTIC MACULE', 'CATARACT', 'BEAUTY MARK', 'CLOUDY CORNEA', 'MALIGNANT MELANOMA', 'ATAXIA']",69,60,192,570
4,0,92,0,"['CORNEAL INFLAMMATION', 'CORNEAL INFLAMMATION', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'ENTROPION', 'ENTROPION', 'ECTROPION', 'ECTROPION', 'CUTANEOUS PHOTOSENSITIVITY', 'CUTANEOUS PHOTOSENSITIVITY', 'CUTANEOUS TELANGIECTASIA', 'CUTANEOUS TELANGIECTASIA', 'POIKILODERMA', 'POIKILODERMA', 'CANCER OF SKIN PIGMENT CELLS', 'CANCER OF SKIN PIGMENT CELLS', 'ATROPHIC SKIN', 'ATROPHIC SKIN', 'FLAT, DISCOLORED AREA OF SKIN', 'CRANIOFACIAL HYPEROSTOSIS', 'DECREASED BODY HEIGHT', 'NEUROPATHY', 'ADHESION OF EYELIDS', 'ARTHRALGIA', 'DELAYED BONE AGE', 'ABNORMAL TISSUE MASS', 'PAPILLOMA', 'DEVELOPMENTAL REGRESSION', 'ABNORMAL EEG', 'CEREBRAL CORTEX ATROPHY', 'FATIGUE', 'THIN SKIN', 'HYPERKERATOSIS', 'DRY SKIN', 'ABNORMALITY OF EXTRAPYRAMIDAL MOTOR FUNCTION', 'ERYTHEMA', 'CONJUNCTIVAL TELANGIECTASES', 'CROSS-EYED', 'HEARING LOSS, SENSORINEURAL', 'BLEPHARITIS', 'DIFFUSELY THICKENED SKIN', 'DEPRESSED NASAL ALAE', 'ABNORMALLY SMALL CRANIUM', 'ABNORMAL DENTITION', 'DECREASED ACTIVITY OF GONADS', 'ABNORMALITY OF COGNITION', 'FEVER', 'ABNORMAL URINARY AMINO-ACID FINDINGS', 'DECREASED TESTICULAR SIZE', 'OPTIC ATROPHY', 'TELANGIECTASIA OF THE SKIN', 'ALOPECIA', 'FAILURE TO THRIVE', 'FRECKLING', 'CRYPTORCHIDISM', 'ABSENT OR DECREASED DEEP TENDON REFLEXES', 'INTELLECTUAL DISABILITY, PROGRESSIVE', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'ATAXIA', 'EPILEPSY', 'CONGENITAL DEAFNESS', 'EYE TUMOR', 'PTERYGIA', 'HYPOPIGMENTED SKIN PATCHES', 'HYPERMELANOTIC MACULE', 'CATARACT', 'BEAUTY MARK', 'CLOUDY CORNEA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'TELANGIECTASIA', 'PAPILLOMA', 'NEUROPATHY', 'ATAXIA', 'ALOPECIA', 'ENTROPION']",76,61,27,628
3,8,9,0,"['ALOPECIA', 'TELANGIECTASIA']",2,2,0,1430
3,2,108,260,"['ABNORMALLY SMALL CRANIUM', 'DECREASED BODY HEIGHT', 'CUTANEOUS PHOTOSENSITIVITY', 'HEARING LOSS, SENSORINEURAL', 'OPTIC ATROPHY', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'EPILEPSY', 'CATARACT', 'ATROPHIC SKIN', 'NEUROPATHY', 'ABNORMAL EEG', 'CEREBRAL CORTEX ATROPHY', 'DRY SKIN', 'CROSS-EYED', 'DECREASED ACTIVITY OF GONADS', 'FAILURE TO THRIVE', 'CRYPTORCHIDISM', 'ABSENT OR DECREASED DEEP TENDON REFLEXES', 'ATAXIA', 'CLOUDY CORNEA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'CATARACT', 'PERIPHERAL NEUROPATHY', 'TELANGIECTASIA', 'PAPILLOMA']",30,24,5,1117
