,disease_to_gene_occurrences,disease_to_gene_pub_counts,disease_to_int_to_gen_occurrences,disease_to_int_to_gene_pubs,disease_symtpoms_gene_related_to,disease_symtpoms_gene_related_to_count,unique_symptoms_count,gene_to_symptoms_pub_counts,gene_edges_out
CRP,2,0,362,156,['DIARRHEA'],1,1,0,2127
TMPRSS2,2,0,97,202,['DIARRHEA'],1,1,0,502
ACE2,2,0,268,272,['DIARRHEA'],1,1,0,1050
CFTR,1,0,462,1111,"['ABNORMAL LIVER ENZYMES', 'FATIGUE', 'DIARRHEA']",3,3,0,1918
CD4,1,0,970,3542,"['DIARRHEA', 'DIARRHEA', 'DIARRHEA', 'FATIGUE']",4,2,3,7913
CPB2,1,0,140,195,"['DIARRHEA', 'DIARRHEA', 'DIARRHEA']",3,1,0,753
SIRT4,1,0,103,176,['DIARRHEA'],1,1,0,453
APOH,1,0,123,115,['DIARRHEA'],1,1,0,778
SIRT1,1,0,428,707,['DIARRHEA'],1,1,0,3561
GADD45B,1,0,61,76,['DIARRHEA'],1,1,0,385
MAPK1,1,0,770,2402,['DIARRHEA'],1,1,0,11864
OXT,1,0,134,139,['HEADACHE'],1,1,0,925
ATP12A,1,0,152,124,"['DIARRHEA', 'DIARRHEA']",2,1,0,774
MEFV,1,0,202,240,"['DIARRHEA', 'MUSCLE ACHE', 'DIARRHEA']",3,2,0,703
PLAT,1,0,301,517,['DIARRHEA'],1,1,0,2526
FCGRT,1,0,115,119,['DIARRHEA'],1,1,0,621
SERPINE1,1,0,358,439,['DIARRHEA'],1,1,0,1935
C5,1,0,246,147,['DIARRHEA'],1,1,0,1898
MPO,1,0,517,735,['DIARRHEA'],1,1,0,4009
CSF3,1,0,228,150,"['HEADACHE', 'DIARRHEA', 'DIARRHEA', 'DIARRHEA']",4,2,1,923
CCL2,1,0,671,882,"['FATIGUE', 'DIARRHEA']",2,2,1,3879
IL2,1,0,759,2205,"['DIARRHEA', 'DIARRHEA', 'DIARRHEA', 'FATIGUE', 'ANOREXIA']",5,3,2,5767
CTSC,1,0,142,169,['DIARRHEA'],1,1,0,1381
IFNG,1,0,357,258,"['NAUSEA', 'DIARRHEA']",2,2,0,1508
MAPK14,1,0,348,343,['DIARRHEA'],1,1,0,3906
IL4,1,0,395,266,"['DIARRHEA', 'DIARRHEA']",2,1,0,2341
MAPRE3,1,0,61,81,['DIARRHEA'],1,1,0,583
TNNT2,1,0,111,169,"['ARRHYTHMIAS, SUPRAVENTRICULAR', 'DIARRHEA']",2,2,0,663
TTR,1,0,375,399,"['DIARRHEA', 'HEADACHE', 'HEADACHE', 'DIARRHEA']",4,2,191,3146
LGALSL,1,0,40,53,['DIARRHEA'],1,1,0,372
ZC3HAV1,1,0,86,83,['DIARRHEA'],1,1,0,568
NT5C,1,0,60,85,['DIARRHEA'],1,1,0,392
C3,1,0,331,159,['DIARRHEA'],1,1,0,2255
SH2D3A,1,0,100,178,"['DIARRHEA', 'DIARRHEA']",2,1,0,429
FGL2,1,0,81,134,['DIARRHEA'],1,1,0,429
SIRT2,1,0,96,121,['DIARRHEA'],1,1,0,823
TNF,1,0,1683,8797,"['ANOREXIA', 'ANOREXIA', 'ANOREXIA', 'ANOREXIA', 'COUGHING', 'DIARRHEA', 'DIARRHEA', 'DIARRHEA', 'DIARRHEA', 'FATIGUE', 'FATIGUE', 'FATIGUE', 'NAUSEA', 'NAUSEA']",14,5,23,19386
IFNA1,1,0,1043,3605,"['ANOREXIA', 'FATIGUE', 'FATIGUE', 'FATIGUE', 'NAUSEA', 'DIARRHEA']",6,4,7,7673
TP53,0,0,956,7151,"['ABNORMAL LIVER ENZYMES', 'FATIGUE', 'ANOREXIA', 'NAUSEA', 'DIARRHEA', 'HEADACHE']",6,6,0,14024
VEGFA,1,0,949,4342,"['FATIGUE', 'FATIGUE', 'COUGHING', 'COUGHING', 'ANOREXIA', 'DIARRHEA']",6,4,4,11194
AKT1,0,0,918,4598,['DIARRHEA'],1,1,1,16400
EGFR,0,0,913,2172,"['DIARRHEA', 'DIARRHEA', 'DIARRHEA']",3,1,1,9004
IL6,1,0,880,1153,"['ANOREXIA', 'FATIGUE', 'HEADACHE', 'DIARRHEA']",4,4,3,5944
TGFB1,0,0,848,2927,"['HEADACHE', 'HEADACHE', 'ANOREXIA', 'DIARRHEA', 'DECREASED BLOOD LEUKOCYTE NUMBER', 'ENCEPHALOPATHY', 'HEADACHE', 'DIARRHEA', 'DIARRHEA']",9,5,6,9079
INS,1,0,810,3216,"['COUGHING', 'NAUSEA', 'ANOREXIA', 'ANOREXIA', 'FATIGUE']",5,4,11,9555
CAT,0,0,810,1291,"['DIARRHEA', 'DIARRHEA', 'DIARRHEA']",3,1,0,8603
TLR4,1,0,775,1160,"['ANOREXIA', 'ANOREXIA', 'FATIGUE', 'DIARRHEA']",4,3,2,4541
MMP9,0,0,727,1471,"['COUGHING', 'DIARRHEA', 'DIARRHEA', 'FATIGUE']",4,3,3,8056
STAT3,1,0,726,1736,"['COUGH', 'ANOREXIA', 'DIARRHEA']",3,3,1,6659
IL10,1,0,721,800,['DIARRHEA'],1,1,0,3510
CAMP,0,0,673,2055,"['ANOREXIA', 'ANOREXIA', 'DIARRHEA', 'DIARRHEA', 'HEADACHE', 'FATIGUE']",6,4,7,10579
MAPK8,0,0,656,2525,['DIARRHEA'],1,1,0,7641
LEP,0,0,656,1931,"['ANOREXIA', 'ANOREXIA', 'ANOREXIA', 'ANOREXIA', 'FATIGUE', 'NAUSEA', 'RESPIRATORY DISTRESS', 'DIARRHEA']",8,5,105,5866
POMC,0,0,651,1201,"['ANOREXIA', 'ANOREXIA', 'ANOREXIA', 'FATIGUE', 'HEADACHE', 'NAUSEA']",6,4,9,5609
FAS,0,0,640,2891,"['HEADACHE', 'DIARRHEA', 'DIARRHEA']",3,2,0,5882
PIK3CA,0,0,607,1018,"['ABNORMAL LIVER ENZYMES', 'FATIGUE', 'ANOREXIA', 'DIARRHEA', 'DIARRHEA', 'DIARRHEA']",6,4,0,7686
CD40,0,0,601,1067,['DIARRHEA'],1,1,0,3782
CA2,0,0,592,2991,"['FATIGUE', 'FATIGUE', 'FATIGUE', 'FATIGUE', 'DIARRHEA', 'DIARRHEA']",6,2,8,16909
ALB,1,0,589,869,['FATIGUE'],1,1,0,4255
RELA,0,0,589,993,['DIARRHEA'],1,1,0,4386
CXCR4,0,0,581,804,['DIARRHEA'],1,1,0,3770
PTEN,0,0,563,1348,['DIARRHEA'],1,1,0,5807
ESR1,0,0,560,1179,"['HEADACHE', 'DIARRHEA']",2,2,1,5414
CRK,0,0,558,2287,['DIARRHEA'],1,1,0,6981
CISH,0,0,551,967,"['COUGHING', 'DIARRHEA', 'DIARRHEA']",3,2,1,6348
FOS,0,0,534,1096,"['ABNORMAL LIVER ENZYMES', 'MUSCLE ACHE', 'HEADACHE', 'HEADACHE', 'NAUSEA', 'ANOREXIA', 'ANOREXIA', 'COUGHING', 'DIARRHEA', 'DIARRHEA']",10,7,11,7066
NTRK1,0,0,530,336,['DIARRHEA'],1,1,0,2291
CCL5,1,0,528,656,['DIARRHEA'],1,1,0,2432
CCR5,1,0,524,832,['DIARRHEA'],1,1,0,3373
ITGAM,0,0,514,487,['DIARRHEA'],1,1,0,2788
MMP2,0,0,506,966,"['DIARRHEA', 'DIARRHEA']",2,1,1,7392
AR,0,0,501,1388,"['DIARRHEA', 'DIARRHEA']",2,1,0,7003
CD44,0,0,500,692,['DIARRHEA'],1,1,0,3734
MTOR,1,0,500,1097,"['DIARRHEA', 'DIARRHEA']",2,1,0,7017
CDKN1A,0,0,492,1621,"['DIARRHEA', 'DIARRHEA']",2,1,0,7400
SOD1,0,0,486,654,"['FATIGUE', 'DIARRHEA']",2,2,0,2925
MYD88,0,0,481,652,"['FATIGUE', 'ANOREXIA', 'DIARRHEA', 'ANOREXIA', 'ANOREXIA', 'DIARRHEA']",6,3,2,2275
MYC,0,0,479,614,['DIARRHEA'],1,1,0,3503
PTPN11,0,0,470,740,['DIARRHEA'],1,1,0,2897
KIT,0,0,469,544,"['FATIGUE', 'COUGH', 'ANOREXIA', 'DIARRHEA', 'HEADACHE']",5,5,0,4843
C5AR1,0,0,469,554,['RESPIRATORY DISTRESS'],1,1,1,2336
STAT5A,0,0,466,1088,['DIARRHEA'],1,1,0,3516
TH,1,0,464,861,['DIARRHEA'],1,1,0,5797
CXCL8,1,0,464,396,"['FATIGUE', 'DIARRHEA']",2,2,1,3047
HSPA4,0,0,463,957,['DIARRHEA'],1,1,0,2978
ACE,1,0,459,582,"['DIARRHEA', 'COUGHING', 'COUGHING', 'COUGHING']",4,2,3,2842
IL2RA,1,0,454,895,['DIARRHEA'],1,1,0,2549
TIMP1,0,0,452,552,['FATIGUE'],1,1,1,2724
CD14,0,0,451,681,"['ANOREXIA', 'DIARRHEA', 'DIARRHEA']",3,2,2,2616
TLR3,1,0,451,588,"['DIARRHEA', 'DIARRHEA']",2,1,1,1751
SST,0,0,450,877,"['DIARRHEA', 'DIARRHEA', 'DIARRHEA', 'DIARRHEA', 'HEADACHE', 'ANOREXIA', 'NAUSEA']",7,4,20,3608
