,bioprocess_count,genes_related
GROWTH,107,"['TGFB1', 'CAMP', 'ELANE', 'TNFRSF1A', 'SLPI', 'TNF', 'MUC5B', 'IL1B', 'CA2', 'CXCR1', 'CXCL8', 'LEP', 'TLR4', 'INS', 'FAS', 'CCL2', 'CAT', 'IFNA1', 'PTH', 'DEFB1', 'DEFB4A', 'CXCR2', 'SERPINA1', 'MUC4', 'AKT1', 'SLURP1', 'MAL', 'SCT', 'CTSG', 'AHSA1', 'TIMP1', 'MPO', 'IL2', 'IL4', 'IL5', 'NR3C1', 'TTR', 'PI3', 'C3', 'CRP', 'DNAH5', 'SLC26A4', 'REN', 'EGFR', 'ALB', 'NOD2', 'ABCC8', 'F2', 'NOS2', 'SMAD3', 'NLRP3', 'IL6', 'VEGFA', 'TP53', 'MAPK1', 'TH', 'CD4', 'FOS', 'POMC', 'MMP9', 'AR', 'MAPK8', 'CDKN1A', 'ESR1', 'RELA', 'PTGS2', 'BAX', 'STAT3', 'IL10', 'WDTC1', 'CISH', 'MUC7', 'MMP2', 'PIK3CA', 'MAPK3', 'PTS', 'MCOLN1', 'CP', 'BCL2', 'MTOR', 'RHO', 'EGF', 'CCND1', 'PPARA', 'ABCB1', 'HGS', 'ITGAM', 'SST', 'AHR', 'CD44', 'TCEAL1', 'GC', 'CCK', 'PSMB6', 'CTLA4', 'CREBBP', 'SLC17A5', 'PPIB', 'SOD2', 'IFNG', 'BBS9', 'PGR', 'APOB', 'KIT', 'HIF1A', 'TG', 'PTEN']"
GENE EXPRESSION,99,"['TGFB1', 'ELANE', 'SCNN1B', 'SLPI', 'TNF', 'MUC5B', 'IL1B', 'CA2', 'CXCR1', 'CXCL8', 'LEP', 'TLR4', 'INS', 'TLR5', 'FAS', 'CCL2', 'CAT', 'IFNA1', 'PTH', 'SPINK1', 'SERPINA1', 'AKT1', 'MUC5AC', 'SLURP1', 'SCT', 'CTSG', 'AHSA1', 'TIMP1', 'IL2', 'IL2', 'IL4', 'IL5', 'NR3C1', 'TTR', 'C3', 'CRP', 'GUCY2C', 'KCNN4', 'SLC26A4', 'REN', 'EGFR', 'LY96', 'PPARG', 'NOD2', 'F2', 'NOS2', 'SMAD3', 'NLRP3', 'IL6', 'VEGFA', 'TP53', 'MAPK1', 'TH', 'CD4', 'FOS', 'POMC', 'MMP9', 'AR', 'CDKN1A', 'RELA', 'PTGS2', 'BAX', 'STAT3', 'IL10', 'WDTC1', 'CYP3A4', 'CISH', 'MMP2', 'PIK3CA', 'MAPK3', 'CP', 'CASP3', 'BCL2', 'MTOR', 'RHO', 'EGF', 'CCND1', 'PPARA', 'G6PD', 'ABCB1', 'HGS', 'ITGAM', 'AHR', 'CD44', 'TCEAL1', 'GC', 'PSMB6', 'CTLA4', 'CREBBP', 'SLC17A5', 'PPIB', 'IFNG', 'BBS9', 'PGR', 'KIT', 'HIF1A', 'TG', 'ACE', 'PTEN']"
METABOLIC PROCESS,89,"['ELANE', 'TNF', 'CA2', 'LEP', 'TLR4', 'INS', 'TLR5', 'FAS', 'CAT', 'PTH', 'HP', 'VIP', 'GSN', 'SERPINA1', 'AKT1', 'SLURP1', 'HFE', 'SCT', 'AHSA1', 'ATP12A', 'MPO', 'IL2', 'IL4', 'IL5', 'NR3C1', 'TTR', 'PI3', 'C3', 'CRP', 'DNAH5', 'SLC26A4', 'REN', 'EGFR', 'PPARG', 'ALB', 'NOD2', 'ABCC8', 'F2', 'NOS2', 'NLRP3', 'IL6', 'TP53', 'MAPK1', 'TH', 'CD4', 'SOD1', 'POMC', 'MMP9', 'AR', 'MAPK8', 'ESR1', 'PTGS2', 'IL10', 'WDTC1', 'CYP3A4', 'CISH', 'MUC7', 'PIK3CA', 'MAPK3', 'PTS', 'CP', 'CASP3', 'MTOR', 'RHO', 'EGF', 'PPARA', 'G6PD', 'ABCB1', 'HGS', 'ITGAM', 'SST', 'CD40', 'AHR', 'CD44', 'GC', 'CCK', 'PSMB6', 'CTLA4', 'CREBBP', 'SLC17A5', 'PPIB', 'SOD2', 'BBS9', 'PGR', 'APOB', 'CYP2E1', 'HIF1A', 'TG', 'PTEN']"
INFLAMMATION,85,"['CFTR', 'TGFB1', 'CAMP', 'ELANE', 'SCNN1B', 'TNFRSF1A', 'TNFRSF1A', 'TNF', 'TNF', 'IL1B', 'IL1B', 'IL1B', 'IL1B', 'CXCL8', 'CXCL8', 'CXCL8', 'TLR4', 'TLR4', 'TLR5', 'TLR5', 'FAS', 'CCL2', 'CCL2', 'CCL2', 'IFNA1', 'CXCR2', 'SERPINA1', 'AKT1', 'AKT1', 'MUC5AC', 'AHSA1', 'IL2', 'IL4', 'IL5', 'IL5', 'NR3C1', 'TTR', 'PI3', 'C3', 'CRP', 'CRP', 'SLC26A4', 'REN', 'LY96', 'LY96', 'NOD2', 'NOS2', 'NOS2', 'NLRP3', 'NLRP3', 'IL6', 'IL6', 'MAPK1', 'TH', 'CD4', 'FOS', 'FOS', 'MAPK8', 'RELA', 'RELA', 'PTGS2', 'PTGS2', 'STAT3', 'STAT3', 'IL10', 'WDTC1', 'CISH', 'PIK3CA', 'MAPK3', 'CASP3', 'PPARA', 'ABCB1', 'CD40', 'CD40', 'AHR', 'CD44', 'GC', 'PSMB6', 'CTLA4', 'SLC17A5', 'PPIB', 'IFNG', 'PGR', 'KIT', 'TG']"
BREAKDOWN,82,"['TGFB1', 'ELANE', 'SLPI', 'TNF', 'IL1B', 'CA2', 'CXCL8', 'LEP', 'TLR4', 'INS', 'FAS', 'CCL2', 'CAT', 'BPI', 'IFNA1', 'DEFB4A', 'AKT1', 'SLURP1', 'MAL', 'CTSG', 'AHSA1', 'ATP12A', 'IL2', 'IL4', 'NR3C1', 'TTR', 'PI3', 'C3', 'SLC26A4', 'EGFR', 'ALB', 'NOD2', 'F2', 'NOS2', 'NLRP3', 'IL6', 'TP53', 'MAPK1', 'TH', 'CD4', 'SOD1', 'MMP9', 'AR', 'MAPK8', 'CDKN1A', 'ESR1', 'RELA', 'PTGS2', 'BAX', 'STAT3', 'IL10', 'WDTC1', 'CYP3A4', 'CISH', 'MMP2', 'PIK3CA', 'PTS', 'GPI', 'CP', 'CASP3', 'BCL2', 'MTOR', 'RHO', 'EGF', 'CCND1', 'ABCB1', 'HGS', 'CD40', 'CD44', 'TCEAL1', 'GC', 'PSMB6', 'CTLA4', 'CREBBP', 'SLC17A5', 'PPIB', 'SOD2', 'PGR', 'KIT', 'HIF1A', 'ACE', 'PTEN']"
CATAGEN,79,"['CAMP', 'ELANE', 'TNF', 'IL1B', 'CA2', 'TLR4', 'INS', 'FAS', 'CCL2', 'CAT', 'IFNA1', 'CXCR2', 'VIP', 'SERPINA1', 'AKT1', 'CTSG', 'AHSA1', 'TIMP1', 'MPO', 'IL4', 'IL5', 'NR3C1', 'TTR', 'PI3', 'C3', 'SLC12A2', 'SLC26A4', 'EGFR', 'AQP5', 'ALB', 'NOD2', 'ABCC8', 'F2', 'NOS2', 'NLRP3', 'IL6', 'TP53', 'TH', 'CD4', 'SOD1', 'POMC', 'CDKN1A', 'RELA', 'PTGS2', 'BAX', 'STAT3', 'IL10', 'WDTC1', 'CISH', 'MUC7', 'PIK3CA', 'MAPK3', 'PTS', 'GPI', 'MCOLN1', 'CP', 'CASP3', 'BCL2', 'MTOR', 'CCND1', 'G6PD', 'HGS', 'ITGAM', 'GSR', 'CD44', 'TCEAL1', 'GC', 'PSMB6', 'CTLA4', 'CREBBP', 'SLC17A5', 'PPIB', 'SOD2', 'IFNG', 'BBS9', 'PGR', 'KIT', 'HIF1A', 'TG']"
SECRETION,78,"['CFTR', 'TGFB1', 'CAMP', 'ELANE', 'SCNN1B', 'TNF', 'IL1B', 'CA2', 'CA2', 'CXCR1', 'CXCL8', 'LEP', 'ANO1', 'TLR4', 'INS', 'FAS', 'CCL2', 'CAT', 'IFNA1', 'PTH', 'VIP', 'SERPINA1', 'AKT1', 'SCT', 'CTSG', 'AHSA1', 'TIMP1', 'IL2', 'IL4', 'IL5', 'TTR', 'C3', 'SLC12A2', 'REN', 'EGFR', 'PPARG', 'ALB', 'NOD2', 'F2', 'NOS2', 'NLRP3', 'IL6', 'VEGFA', 'MAPK1', 'TH', 'CD4', 'FOS', 'POMC', 'MMP9', 'MAPK8', 'RELA', 'PTGS2', 'STAT3', 'IL10', 'WDTC1', 'MMP2', 'PIK3CA', 'MAPK3', 'PTS', 'CP', 'CASP3', 'MTOR', 'RHO', 'EGF', 'HGS', 'ITGAM', 'GC', 'CCK', 'PSMB6', 'CTLA4', 'PPIB', 'IFNG', 'BBS9', 'PGR', 'APOB', 'HIF1A', 'TG', 'PTEN']"
CONJUGATION,76,"['ELANE', 'SLPI', 'TNF', 'TLR4', 'FAS', 'CAT', 'BPI', 'IFNA1', 'PTH', 'SPINK1', 'CD8A', 'AKT1', 'SLURP1', 'CTSG', 'AHSA1', 'ATP12A', 'MPO', 'IL2', 'IL4', 'IL5', 'NR3C1', 'TTR', 'C3', 'CRP', 'DNAH5', 'SLC26A4', 'EGFR', 'LY96', 'PPARG', 'ALB', 'NOD2', 'NOS2', 'SMAD3', 'NLRP3', 'VEGFA', 'TP53', 'MAPK1', 'TH', 'CD4', 'FOS', 'POMC', 'MMP9', 'AR', 'RELA', 'PTGS2', 'STAT3', 'IL10', 'WDTC1', 'CISH', 'MUC7', 'MMP2', 'PIK3CA', 'MAPK3', 'PTS', 'MCOLN1', 'CP', 'CASP3', 'MTOR', 'RHO', 'EGF', 'HGS', 'ITGAM', 'SST', 'CD40', 'CD44', 'GC', 'PSMB6', 'CTLA4', 'CREBBP', 'SLC17A5', 'PPIB', 'PGR', 'APOB', 'KIT', 'HIF1A', 'TG']"
CELL POPULATION PROLIFERATION,75,"['TGFB1', 'ELANE', 'SLPI', 'TNF', 'CA2', 'CXCR1', 'CXCL8', 'LEP', 'TLR4', 'INS', 'FAS', 'CAT', 'IFNA1', 'CXCR2', 'SERPINA1', 'MUC4', 'AKT1', 'AKT1', 'SLURP1', 'SCT', 'CTSG', 'AHSA1', 'IL2', 'IL4', 'IL5', 'NR3C1', 'C3', 'SLC26A4', 'EGFR', 'F2', 'NLRP3', 'IL6', 'TP53', 'MAPK1', 'TH', 'CD4', 'FOS', 'POMC', 'AR', 'MAPK8', 'CDKN1A', 'PTGS2', 'BAX', 'STAT3', 'STAT3', 'IL10', 'CISH', 'MMP2', 'PIK3CA', 'MAPK3', 'PTS', 'CASP3', 'BCL2', 'MTOR', 'RHO', 'EGF', 'CCND1', 'HGS', 'AHR', 'CD44', 'TCEAL1', 'GC', 'CCK', 'PSMB6', 'CTLA4', 'CREBBP', 'SLC17A5', 'PPIB', 'SOD2', 'IFNG', 'PGR', 'KIT', 'HIF1A', 'TG', 'PTEN']"
IMMUNE RESPONSE,74,"['CAMP', 'SLPI', 'TNF', 'IL1B', 'IL1B', 'CA2', 'CXCR1', 'CXCR1', 'CXCL8', 'CXCL8', 'TLR4', 'TLR4', 'INS', 'TLR5', 'FAS', 'CCL2', 'IFNA1', 'DEFB1', 'DEFB4A', 'CXCR2', 'GSN', 'CD8A', 'AKT1', 'SLURP1', 'CTSG', 'ATP12A', 'IL2', 'IL2', 'IL4', 'IL4', 'IL5', 'IL5', 'NR3C1', 'PRTN3', 'TTR', 'C3', 'CRP', 'SLC26A4', 'EGFR', 'LY96', 'ALB', 'NOD2', 'SMAD3', 'NLRP3', 'IL6', 'VEGFA', 'TH', 'CD4', 'CD4', 'FOS', 'SOD1', 'AR', 'PTGS2', 'STAT3', 'IL10', 'CYP3A4', 'CISH', 'PIK3CA', 'PTS', 'CP', 'MTOR', 'HGS', 'ITGAM', 'AHR', 'GC', 'PSMB6', 'CTLA4', 'CTLA4', 'PPIB', 'SOD2', 'IFNG', 'PGR', 'KIT', 'HIF1A']"
